Category,Category_name,Exceedance Probability 1.5C (MAGICCv7.5.3),Exceedance Probability 2.0C (MAGICCv7.5.3),Exceedance Probability 2.5C (MAGICCv7.5.3),Exceedance Probability 3.0C (MAGICCv7.5.3),climate-models,exclude,harmonization,infilling,median peak warming (MAGICCv7.5.3),median warming in 2100 (MAGICCv7.5.3),median year of peak warming (MAGICCv7.5.3),model,model_scenario,p33 peak warming (MAGICCv7.5.3),p33 warming in 2100 (MAGICCv7.5.3),p33 year of peak warming (MAGICCv7.5.3),p67 peak warming (MAGICCv7.5.3),p67 warming in 2100 (MAGICCv7.5.3),p67 year of peak warming (MAGICCv7.5.3),permafrost,pipeline,region,scenario,unit,variable,1995-01-01 00:00:00,1996-01-01 00:00:00,1997-01-01 00:00:00,1998-01-01 00:00:00,1999-01-01 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,2002-01-01 00:00:00,2003-01-01 00:00:00,2004-01-01 00:00:00,2005-01-01 00:00:00,2006-01-01 00:00:00,2007-01-01 00:00:00,2008-01-01 00:00:00,2009-01-01 00:00:00,2010-01-01 00:00:00,2011-01-01 00:00:00,2012-01-01 00:00:00,2013-01-01 00:00:00,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-01 00:00:00,2017-01-01 00:00:00,2018-01-01 00:00:00,2019-01-01 00:00:00,2020-01-01 00:00:00,2021-01-01 00:00:00,2022-01-01 00:00:00,2023-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,2026-01-01 00:00:00,2027-01-01 00:00:00,2028-01-01 00:00:00,2029-01-01 00:00:00,2030-01-01 00:00:00,2031-01-01 00:00:00,2032-01-01 00:00:00,2033-01-01 00:00:00,2034-01-01 00:00:00,2035-01-01 00:00:00,2036-01-01 00:00:00,2037-01-01 00:00:00,2038-01-01 00:00:00,2039-01-01 00:00:00,2040-01-01 00:00:00,2041-01-01 00:00:00,2042-01-01 00:00:00,2043-01-01 00:00:00,2044-01-01 00:00:00,2045-01-01 00:00:00,2046-01-01 00:00:00,2047-01-01 00:00:00,2048-01-01 00:00:00,2049-01-01 00:00:00,2050-01-01 00:00:00,2051-01-01 00:00:00,2052-01-01 00:00:00,2053-01-01 00:00:00,2054-01-01 00:00:00,2055-01-01 00:00:00,2056-01-01 00:00:00,2057-01-01 00:00:00,2058-01-01 00:00:00,2059-01-01 00:00:00,2060-01-01 00:00:00,2061-01-01 00:00:00,2062-01-01 00:00:00,2063-01-01 00:00:00,2064-01-01 00:00:00,2065-01-01 00:00:00,2066-01-01 00:00:00,2067-01-01 00:00:00,2068-01-01 00:00:00,2069-01-01 00:00:00,2070-01-01 00:00:00,2071-01-01 00:00:00,2072-01-01 00:00:00,2073-01-01 00:00:00,2074-01-01 00:00:00,2075-01-01 00:00:00,2076-01-01 00:00:00,2077-01-01 00:00:00,2078-01-01 00:00:00,2079-01-01 00:00:00,2080-01-01 00:00:00,2081-01-01 00:00:00,2082-01-01 00:00:00,2083-01-01 00:00:00,2084-01-01 00:00:00,2085-01-01 00:00:00,2086-01-01 00:00:00,2087-01-01 00:00:00,2088-01-01 00:00:00,2089-01-01 00:00:00,2090-01-01 00:00:00,2091-01-01 00:00:00,2092-01-01 00:00:00,2093-01-01 00:00:00,2094-01-01 00:00:00,2095-01-01 00:00:00,2096-01-01 00:00:00,2097-01-01 00:00:00,2098-01-01 00:00:00,2099-01-01 00:00:00,2100-01-01 00:00:00,2105-01-01 00:00:00
C2,C2: Below 1.5°C with high OS,0.705,0.11,0.0033333333333333,0.0,openscm_runner (version: 0.9.1),False,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),1.626663631795009,1.235454300397885,2048,POLES_ADVANCE,POLES_ADVANCEADVANCE_2030_WB2C,1.519692878209026,1.116941716185169,2046,1.747046624613788,1.366490703306302,2048,True,climate-assessment (version: 0.1.3-fgd+3.g51e0732),World,ADVANCE_2030_WB2C,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,,,,,,,,,,,,,,,,3243.438262,3163.568464890476,3083.698667780953,3003.828870671429,2923.959073561904,2844.089276452381,2829.559479342857,2815.029682233333,2800.49988512381,2785.970088014285,2771.440290904761,2671.917160461904,2572.394030019047,2472.87089957619,2373.347769133334,2273.824638690476,2014.068174914285,1754.311711138095,1494.555247361904,1234.798783585714,975.0423198095234,569.7191893666662,164.3960589238093,-240.9270715190481,-646.2502019619052,-1051.573332404762,-1158.35646284762,-1265.139593290477,-1371.922723733334,-1478.705854176191,-1585.488984619048,-1592.465448395239,-1599.44191217143,-1606.41837594762,-1613.39483972381,-1620.3713035,-1652.794433942858,-1685.217564385715,-1717.640694828572,-1750.063825271429,-1782.486955714286,-1691.63675282381,-1600.786549933334,-1509.936347042858,-1419.086144152382,-1328.235941261905,-1281.459071704763,-1234.68220214762,-1187.905332590477,-1141.128463033334,-1094.351593476191,-1064.514723919048,-1034.677854361905,-1004.840984804762,-975.0041152476196,-945.1672456904766,-954.6370428000004,-964.1068399095244,-973.576637019048,-983.0464341285718,-992.5162312380957,-1029.412695014286,-1066.309158790477,-1103.205622566667,-1140.102086342858,-1176.998550119048,-1227.168347228572,-1277.338144338096,-1327.507941447619,-1377.677738557143,-1427.847535666667,-1453.010666109524,-1478.173796552381,-1503.336926995238,-1528.500057438096,-1553.663187880953,-1583.88631832381,-1614.109448766667,-1644.332579209525,-1674.555709652381,-1704.778840095239,-1764.261970538096,-1823.745100980953,-1883.22823142381,-1942.711361866668,-2002.194492309524,-2066.737622752382,-2131.280753195239,-2195.823883638097,-2260.367014080953,-2324.91014452381,
C2,C2: Below 1.5°C with high OS,0.705,0.11,0.0033333333333333,0.0,openscm_runner (version: 0.9.1),False,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),1.626663631795009,1.235454300397885,2048,POLES_ADVANCE,POLES_ADVANCEADVANCE_2030_WB2C,1.519692878209026,1.116941716185169,2046,1.747046624613788,1.366490703306302,2048,True,climate-assessment (version: 0.1.3-fgd+3.g51e0732),World,ADVANCE_2030_WB2C,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,,,,,,,,,,,,,,,,32890.3978,33528.02331027494,34165.5580889339,34803.00213597688,35440.35545140388,36077.61803521493,36855.05313812756,37632.37761617264,38409.59146935015,39186.69469766008,39963.68730110245,40209.31911377172,40454.91567442898,40700.47698307422,40946.00303970745,41191.49384432868,40776.25088563269,40361.06644694835,39945.94052827563,39530.87312961457,39115.86425096513,37560.20595657297,36004.76813875385,34449.55079750776,32894.55393283472,31339.77754473473,29316.77122443245,27294.05191443543,25271.61961474366,23249.47432535715,21227.61604627588,19949.43103826658,18671.42742035229,17393.60519253298,16115.96435480867,14838.50490717935,13863.06281712449,12887.7592171168,11912.5941071563,10937.56748724299,9962.679357376855,9016.368347274978,8070.191783791523,7124.149666926487,6178.241996679869,5232.468773051673,4492.514386756247,3752.665192297489,3012.9211896754,2273.28237888998,1533.748759941229,1045.459792778826,557.2402848268099,69.09023608518046,-418.990353446062,-907.0014837669174,-1261.71041130519,-1616.368843000532,-1970.976778852943,-2325.534218862425,-2680.041163028976,-3094.889639358866,-3509.679021029617,-3924.409308041231,-4339.080500393707,-4753.692598087044,-5099.806104898835,-5445.870265162694,-5791.885078878618,-6137.850546046609,-6483.766666666667,-6786.266666666668,-7088.766666666668,-7391.266666666668,-7693.766666666668,-7996.266666666667,-8315.413333333334,-8634.560000000001,-8953.706666666669,-9272.853333333336,-9592.000000000002,-9712.046666666669,-9832.093333333334,-9952.140000000005,-10072.18666666667,-10192.23333333333,-10401.30666666667,-10610.38,-10819.45333333334,-11028.52666666667,-11237.6,
C3,C3: Likely below 2°C,0.8316666666666667,0.2866666666666667,0.0633333333333333,0.0066666666666666,openscm_runner (version: 0.9.1),False,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),1.812441714020907,1.596591109918445,2060,MESSAGE_V_3,MESSAGE_V_3GEA_Eff_1p5C_Delay2020,1.658662751023343,1.442271956255749,2059,1.952261881218174,1.785870834007265,2060,True,climate-assessment (version: 0.1.3-fgd+3.g51e0732),World,GEA_Eff_1p5C_Delay2020,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,,,,,,,,,,,,,,,,3243.438262,3206.945131557143,3170.452001114286,3133.958870671429,3097.465740228571,3060.972609785714,3024.479479342857,2987.9863489,2951.493218457143,2915.000088014286,2878.506957571428,2789.030493795238,2699.554030019048,2610.077566242857,2520.601102466667,2431.124638690476,2341.648174914286,2252.171711138095,2162.695247361905,2073.218783585714,1983.742319809524,1867.939189366666,1752.136058923809,1636.332928480952,1520.529798038096,1404.726667595238,1288.923537152381,1173.120406709524,1057.317276266667,941.5141458238091,825.711015380952,672.6178849380949,519.5247544952379,366.4316240523806,213.3384936095236,60.24536316666627,-92.8477672761909,-245.940897719048,-399.0340281619052,-552.1271586047624,-705.2202890476194,-875.0334194904766,-1044.846549933334,-1214.659680376191,-1384.472810819048,-1554.285941261905,-1724.099071704762,-1893.91220214762,-2063.725332590477,-2233.538463033334,-2403.351593476191,-2591.314723919048,-2779.277854361905,-2967.240984804762,-3155.20411524762,-3343.167245690476,-3531.130376133334,-3719.093506576192,-3907.056637019048,-4095.019767461905,-4282.982897904762,-4463.832695014286,-4644.682492123811,-4825.532289233335,-5006.382086342858,-5187.231883452382,-5368.081680561907,-5548.93147767143,-5729.781274780955,-5910.631071890478,-6091.480869000002,-6201.233999442859,-6310.987129885716,-6420.740260328574,-6530.493390771431,-6640.246521214287,-6749.999651657145,-6859.752782100003,-6969.505912542859,-7079.259042985716,-7189.012173428573,-7292.861970538097,-7396.71176764762,-7500.561564757146,-7604.411361866669,-7708.261158976191,-7812.110956085716,-7915.960753195239,-8019.810550304763,-8123.660347414287,-8227.51014452381,
C3,C3: Likely below 2°C,0.8316666666666667,0.2866666666666667,0.0633333333333333,0.0066666666666666,openscm_runner (version: 0.9.1),False,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),1.812441714020907,1.596591109918445,2060,MESSAGE_V_3,MESSAGE_V_3GEA_Eff_1p5C_Delay2020,1.658662751023343,1.442271956255749,2059,1.952261881218174,1.785870834007265,2060,True,climate-assessment (version: 0.1.3-fgd+3.g51e0732),World,GEA_Eff_1p5C_Delay2020,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,,,,,,,,,,,,,,,,32890.3978,33166.33416914107,33442.23108611931,33718.08855093474,33993.90656358736,34269.68512407714,34545.4242324041,34821.12388856826,35096.78409256959,35372.4048444081,35647.98614408379,34282.94146594604,32918.09009922683,31553.43204392619,30188.9673000441,28824.69586758057,27460.6177465356,26096.7329369092,24733.04143870134,23369.54325191205,22006.23837654131,20954.33601588604,19902.58278148073,18850.97867332541,17799.52369142007,16748.2178357647,15697.06110635931,14646.0535032039,13595.19502629847,12544.48567564301,11493.92545123753,10399.31857281486,9304.867099972114,8210.57103270928,7116.430371026364,6022.445114923366,4928.615264400288,3834.940819457125,2741.421780093881,1648.058146310555,554.8499181071462,92.95831160747906,-368.8676283552925,-830.6279017811688,-1292.322508670149,-1753.951449022234,-2215.514722837424,-2677.012330115719,-3138.444270857116,-3599.81054506162,-4061.111152729228,-4272.124541293118,-4483.107865344691,-4694.061124883946,-4904.984319910885,-5115.877450425502,-5326.740516427804,-5537.573517917789,-5748.376454895454,-5959.149327360802,-6169.892135313834,-6271.341537683669,-6372.776432816197,-6474.196820711417,-6575.602701369328,-6676.994074789932,-6778.370940973228,-6879.733299919218,-6981.081151627898,-7082.414496099271,-7183.733333333335,-7249.220000000003,-7314.706666666669,-7380.193333333336,-7445.680000000002,-7511.166666666668,-7576.653333333335,-7642.140000000001,-7707.626666666668,-7773.113333333335,-7838.6,-7888.43,-7938.260000000001,-7988.09,-8037.920000000001,-8087.75,-8137.580000000001,-8187.41,-8237.240000000002,-8287.07,-8336.9,
C1b,C1b: Below 1.5°C with low OS,0.6466666666666666,0.0766666666666666,0.0033333333333333,0.0,openscm_runner (version: 0.9.1),False,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),1.578411571511418,1.23515778844361,2069,MERGE-ETL_6_0,MERGE-ETL_6_0DAC15_50,1.479022209080782,1.142387103884165,2069,1.692860191307173,1.356857961823237,2070,True,climate-assessment (version: 0.1.3-fgd+3.g51e0732),World,DAC15_50,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,,,,,,,,,,,,,,,,3243.438262,3373.375131557143,3503.312001114286,3633.248870671429,3763.185740228571,3893.122609785713,4023.059479342858,4152.996348900001,4282.933218457144,4412.870088014286,4542.806957571429,4649.497160461906,4756.187363352381,4862.877566242858,4969.567769133334,5076.25797202381,5182.948174914287,5289.638377804763,5396.328580695238,5503.018783585715,5609.708986476191,5747.089189366667,5884.469392257143,6021.84959514762,6159.229798038096,6296.610000928572,6433.990203819049,6571.370406709524,6708.750609600001,6846.130812490477,6983.511015380953,7095.811218271429,7208.111421161906,7320.411624052382,7432.711826942858,7545.012029833335,7657.312232723812,7769.612435614287,7881.912638504763,7994.21284139524,8106.513044285715,8066.463247176192,8026.413450066667,7986.363652957146,7946.313855847621,7906.264058738096,7866.214261628575,7826.16446451905,7786.114667409525,7746.064870300002,7706.015073190478,7538.255276080954,7370.49547897143,7202.735681861906,7034.975884752383,6867.216087642858,6699.456290533335,6531.696493423811,6363.936696314287,6196.176899204762,6028.417102095238,5847.897304985715,5667.37750787619,5486.857710766668,5306.337913657144,5125.818116547619,4945.298319438096,4764.778522328573,4584.258725219048,4403.738928109524,4223.219131000001,4012.412667223809,3801.60620344762,3590.799739671429,3379.993275895238,3169.186812119048,2958.380348342857,2747.573884566667,2536.767420790477,2325.960957014286,2115.154493238096,2080.641362795238,2046.128232352381,2011.615101909524,1977.101971466667,1942.588841023809,1908.075710580952,1873.562580138095,1839.049449695238,1804.536319252381,1770.023188809524,
C1b,C1b: Below 1.5°C with low OS,0.6466666666666666,0.0766666666666666,0.0033333333333333,0.0,openscm_runner (version: 0.9.1),False,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),1.578411571511418,1.23515778844361,2069,MERGE-ETL_6_0,MERGE-ETL_6_0DAC15_50,1.479022209080782,1.142387103884165,2069,1.692860191307173,1.356857961823237,2070,True,climate-assessment (version: 0.1.3-fgd+3.g51e0732),World,DAC15_50,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,,,,,,,,,,,,,,,,32890.3978,32662.45285241269,32434.5398917948,32206.6589181463,31978.80993146721,31750.99293175753,31523.20791901725,31295.45489324638,31067.7338544449,30840.04480261283,30612.38773775016,29396.82440081812,28181.43321782854,26966.21418878143,25751.1673136768,24536.29259251463,23321.59002529493,22107.05961201771,20892.70135268296,19678.51524729067,18464.50129584085,17637.66569368428,16810.94729872116,15984.34611095151,15157.86213037531,14331.49535699257,13505.24579080329,12679.11343180747,11853.09828000511,11027.20033539621,10201.41959798077,9154.997777638926,8108.724529795837,7062.5998544515,6016.623751605912,4970.796221259076,3925.117263410992,2879.58687806166,1834.205065211078,788.9718248592493,-256.1128429938284,-952.8410651844872,-1649.47022337044,-2346.000317551688,-3042.43134772823,-3738.763313900066,-4434.996216067198,-5131.130054229623,-5827.164828387343,-6523.100538540356,-7218.937184688665,-7759.805433196632,-8300.596652819435,-8841.310843557074,-9381.948005409547,-9922.508138376852,-10462.991242459,-11003.39731765598,-11543.72636396779,-12083.97838139443,-12624.15336993592,-13276.89016676067,-13929.53389681097,-14582.08456008683,-15234.54215658824,-15886.90668631521,-16539.17814926773,-17191.3565454458,-17843.44187484942,-18495.4341374786,-19147.33333333334,-20173.85333333334,-21200.37333333334,-22226.89333333334,-23253.41333333334,-24279.93333333333,-25306.45333333334,-26332.97333333333,-27359.49333333334,-28386.01333333333,-29412.53333333333,-30935.48333333333,-32458.43333333333,-33981.38333333334,-35504.33333333334,-37027.28333333334,-38550.23333333334,-40073.18333333334,-41596.13333333334,-43119.08333333334,-44642.03333333334,
C5,C5: Below 2.5°C,0.9916666666666668,0.8033333333333333,0.4483333333333333,0.19,openscm_runner (version: 0.9.1),False,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),2.419272792434318,2.419272792434318,2100,GCAM_4_2,GCAM_4_2SSP5-45,2.206398079936944,2.206398079936944,2100,2.663754731718438,2.663754731718438,2100,True,climate-assessment (version: 0.1.3-fgd+3.g51e0732),World,SSP5-45,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,,,,,,,,,,,,,,,,3243.438262,2830.965131557143,2418.492001114286,2006.018870671429,1593.545740228572,1181.072609785714,768.599479342857,356.1263488999997,-56.34678154285757,-468.8199119857147,-881.2930424285719,-995.006172871429,-1108.719303314286,-1222.432433757143,-1336.1455642,-1449.858694642858,-1563.571825085715,-1677.284955528572,-1790.998085971429,-1904.711216414286,-2018.424346857144,-2362.587477300001,-2706.750607742858,-3050.913738185715,-3395.076868628572,-3739.239999071429,-4083.403129514287,-4427.566259957144,-4771.729390400002,-5115.892520842858,-5460.055651285716,-6302.592115061906,-7145.128578838096,-7987.665042614288,-8830.201506390478,-9672.737970166669,-10515.27443394286,-11357.81089771905,-12200.34736149524,-13042.88382527143,-13885.42028904762,-13921.29008615714,-13957.15988326667,-13993.02968037619,-14028.89947748572,-14064.76927459524,-14100.63907170476,-14136.50886881429,-14172.37866592381,-14208.24846303334,-14244.11826014286,-13943.02139058571,-13641.92452102857,-13340.82765147143,-13039.73078191429,-12738.63391235714,-12437.5370428,-12136.44017324286,-11835.34330368572,-11534.24643412857,-11233.14956457143,-10779.81269501429,-10326.47582545715,-9873.138955900004,-9419.80208634286,-8966.465216785717,-8513.128347228574,-8059.791477671431,-7606.454608114289,-7153.117738557145,-6699.780869000001,-6519.207332776192,-6338.633796552383,-6158.060260328573,-5977.486724104764,-5796.913187880953,-5616.339651657145,-5435.766115433336,-5255.192579209525,-5074.619042985715,-4894.045506761906,-4733.491970538096,-4572.938434314287,-4412.384898090478,-4251.831361866667,-4091.277825642858,-3930.724289419048,-3770.170753195239,-3609.617216971429,-3449.063680747619,-3288.51014452381,
C5,C5: Below 2.5°C,0.9916666666666668,0.8033333333333333,0.4483333333333333,0.19,openscm_runner (version: 0.9.1),False,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),2.419272792434318,2.419272792434318,2100,GCAM_4_2,GCAM_4_2SSP5-45,2.206398079936944,2.206398079936944,2100,2.663754731718438,2.663754731718438,2100,True,climate-assessment (version: 0.1.3-fgd+3.g51e0732),World,SSP5-45,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,,,,,,,,,,,,,,,,32890.3978,33659.30880435195,34428.11046373304,35196.80277814326,35965.38574758262,36733.85937205111,37502.22365154874,38270.47858607551,39038.6241756314,39806.66042021643,40574.58731983061,41838.49119865228,43102.21534863264,44365.75976977166,45629.12446206938,46892.30942552578,48155.31466014086,49418.14016591464,50680.78594284709,51943.25199093822,53205.53831018802,53262.58311090904,53319.61927624539,53376.64680619703,53433.665700764,53490.67595994628,53547.67758374388,53604.67057215678,53661.654925185,53718.63064282854,53775.59772508738,53026.70016853768,52277.90847250537,51529.22263699045,50780.64266199291,50032.16854751277,49283.80029355004,48535.53790010468,47787.38136717673,47039.33069476618,46291.38588287302,45250.96707563545,44210.69572817011,43170.57184047702,42130.59541255613,41090.76644440749,40051.08493603109,39011.55088742692,37972.16429859496,36932.92516953525,35893.83350024777,34975.97963267901,34058.25599590566,33140.66258992773,32223.19941474519,31305.86647035805,30388.66375676634,29471.59127397003,28554.64902196911,27637.83700076361,26721.15521035353,25833.6622693178,24946.29542161549,24059.0546672466,23171.94000621112,22284.95143850905,21398.08896414041,20511.35258310518,19624.74229540338,18738.25810103497,17851.9,17896.23,17940.56,17984.89,18029.22,18073.55,18117.88,18162.21,18206.54,18250.87,18295.2,18194.18333333333,18093.16666666667,17992.15,17891.13333333334,17790.11666666667,17689.10000000001,17588.08333333334,17487.06666666667,17386.05,17285.03333333334,
C3,C3: Likely below 2°C,0.815,0.24,0.055,0.005,openscm_runner (version: 0.9.1),False,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),1.74938523678372,1.631732073443416,2059,IMAGE_3_0_1,IMAGE_3_0_1ADVANCE_2030_WB2C,1.614033986058713,1.470319908895801,2048,1.887567833530365,1.806119481381112,2059,True,climate-assessment (version: 0.1.3-fgd+3.g51e0732),World,ADVANCE_2030_WB2C,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,,,,,,,,,,,,,,,,3243.438262,3189.015131557143,3134.592001114286,3080.168870671429,3025.745740228572,2971.322609785714,3124.432812676191,3277.543015566667,3430.653218457144,3583.76342134762,3736.873624238096,3691.250493795239,3645.627363352382,3600.004232909524,3554.381102466667,3508.757972023809,3309.794841580952,3110.831711138096,2911.868580695239,2712.905450252381,2513.942319809524,2469.4925227,2425.042725590476,2380.592928480952,2336.143131371429,2291.693334261905,2208.816870485714,2125.940406709524,2043.063942933333,1960.187479157143,1877.311015380952,1926.947884938096,1976.584754495238,2026.221624052381,2075.858493609524,2125.495363166667,2141.105566057143,2156.71576894762,2172.325971838095,2187.936174728572,2203.546377619048,1857.476580509524,1511.4067834,1165.336986290476,819.2671891809523,473.1973920714283,391.2742616285712,309.3511311857139,227.4280007428569,145.5048702999997,63.58173985714251,-14.45472391904792,-92.4911876952384,-170.5276514714289,-248.5641152476194,-326.6005790238099,-341.9370428000003,-357.2735065761908,-372.6099703523813,-387.9464341285718,-403.2828979047622,-529.6460283476193,-656.0091587904765,-782.3722892333337,-908.7354196761908,-1035.098550119048,-1066.128347228572,-1097.158144338096,-1128.187941447619,-1159.217738557143,-1190.247535666667,-1185.050666109524,-1179.853796552382,-1174.656926995239,-1169.460057438096,-1164.263187880953,-1206.36631832381,-1248.469448766667,-1290.572579209524,-1332.675709652381,-1374.778840095238,-1393.561970538096,-1412.345100980953,-1431.12823142381,-1449.911361866667,-1468.694492309524,-1479.117622752381,-1489.540753195238,-1499.963883638096,-1510.387014080953,-1520.81014452381,
C3,C3: Likely below 2°C,0.815,0.24,0.055,0.005,openscm_runner (version: 0.9.1),False,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),1.74938523678372,1.631732073443416,2059,IMAGE_3_0_1,IMAGE_3_0_1ADVANCE_2030_WB2C,1.614033986058713,1.470319908895801,2048,1.887567833530365,1.806119481381112,2059,True,climate-assessment (version: 0.1.3-fgd+3.g51e0732),World,ADVANCE_2030_WB2C,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,,,,,,,,,,,,,,,,32890.3978,33243.71265287999,33596.97708305397,33950.191090522,34303.35467528405,34656.46783734011,34874.27672778397,35092.05437830018,35309.80078888873,35527.51595954961,35745.19989028285,35812.32924603008,35879.44871784034,35946.55830571362,36013.65800964991,36080.74782964923,35783.79944945483,35486.89285135767,35190.02803535772,34893.20500145499,34596.42374964948,31863.58367319244,29131.13125393801,26399.06649188618,23667.38938703698,20936.09993939039,19803.21137599201,18670.48350493054,17537.91632620597,16405.50983981831,15273.26404576755,14110.66105917704,12948.22310090002,11785.95017093648,10623.84226928642,9461.899395949857,8589.975233287101,7718.174901936242,6846.498401897285,5974.945733170228,5103.516895755069,4568.91938671542,4034.397835626962,3499.952242489694,2965.582607303615,2431.288930068727,2105.840867360095,1780.439068999175,1455.083534985967,1129.774265320472,804.5112600026889,615.5119746485999,426.5395723493132,237.5940531048285,48.67541691514617,-140.2163362197339,-265.364390090078,-390.4946298879628,-515.6070556133882,-640.7016672663543,-765.7784648468611,-763.81606259689,-761.8539319984635,-759.8920730515821,-757.9304857562455,-755.9691701124534,-712.0495067855671,-668.136091444212,-624.228924088388,-580.328004718095,-536.4333333333334,-556.3066666666668,-576.1800000000001,-596.0533333333335,-615.9266666666667,-635.8000000000001,-844.5800000000002,-1053.36,-1262.140000000001,-1470.92,-1679.700000000001,-1824.313333333334,-1968.926666666667,-2113.54,-2258.153333333334,-2402.766666666667,-2440.24,-2477.713333333334,-2515.186666666667,-2552.66,-2590.133333333334,
C6,C6: Below 3.0°C,0.9966666666666668,0.8966666666666666,0.5883333333333334,0.265,openscm_runner (version: 0.9.1),False,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),2.642427042420747,2.642427042420747,2100,WITCH-GLOBIOM_3_1,WITCH-GLOBIOM_3_1SSP2-45,2.397827141896676,2.396319336691404,2100,2.898263638047664,2.898263638047664,2100,True,climate-assessment (version: 0.1.3-fgd+3.g51e0732),World,SSP2-45,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,,,,,,,,,,,,,,,,3243.438262,3156.27179822381,3069.105334447619,2981.938870671429,2894.772406895238,2807.605943119048,2720.439479342857,2633.273015566667,2546.106551790476,2458.940088014286,2371.773624238095,2247.610493795238,2123.447363352381,1999.284232909524,1875.121102466666,1750.957972023809,1626.794841580952,1502.631711138095,1378.468580695238,1254.305450252381,1130.142319809524,1029.079189366666,928.0160589238094,826.9529284809523,725.8897980380951,624.8266675952377,523.7635371523809,422.7004067095236,321.6372762666665,220.5741458238093,119.5110153809521,1.874551604761564,-115.7619121714289,-233.3983759476194,-351.0348397238098,-468.6713035000004,-586.3077672761909,-703.9442310523814,-821.580694828572,-939.2171586047624,-1056.853622380953,-1092.13675282381,-1127.419883266667,-1162.703013709524,-1197.986144152382,-1233.269274595239,-1268.552405038096,-1303.835535480953,-1339.11866592381,-1374.401796366667,-1409.684926809524,-1442.841390585715,-1475.997854361905,-1509.154318138096,-1542.310781914287,-1575.467245690477,-1608.623709466667,-1641.780173242858,-1674.936637019048,-1708.093100795239,-1741.249564571429,-1739.572695014286,-1737.895825457143,-1736.218955900001,-1734.542086342858,-1732.865216785715,-1731.188347228572,-1729.511477671429,-1727.834608114286,-1726.157738557143,-1724.480869,-1715.763999442858,-1707.047129885715,-1698.330260328572,-1689.613390771429,-1680.896521214286,-1672.179651657143,-1663.4627821,-1654.745912542858,-1646.029042985714,-1637.312173428572,-1638.128637204762,-1638.945100980953,-1639.761564757143,-1640.578028533334,-1641.394492309524,-1642.210956085715,-1643.027419861905,-1643.843883638096,-1644.660347414286,-1645.476811190477,
