Category,Category_name,Exceedance Probability 1.5C|MAGICCv7.5.1,Exceedance Probability 2.0C|MAGICCv7.5.1,Exceedance Probability 2.5C|MAGICCv7.5.1,Exceedance Probability 3.0C|MAGICCv7.5.1,climate-models,exclude,harmonization,infilling,median peak warming (MAGICCv7.5.1),median warming at peak (MAGICCv7.5.1),median warming in 2100 (MAGICCv7.5.1),median year of peak warming (MAGICCv7.5.1),model,model_scenario,p67 peak warming (MAGICCv7.5.1),p67 warming at peak (MAGICCv7.5.1),p67 warming in 2100 (MAGICCv7.5.1),p67 year of peak warming (MAGICCv7.5.1),permafrost,pipeline,region,scenario,unit,variable,year of peak median warming (MAGICCv7.5.1),year of peak p67 warming (MAGICCv7.5.1),1995-01-01 00:00:00,1996-01-01 00:00:00,1997-01-01 00:00:00,1998-01-01 00:00:00,1999-01-01 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,2002-01-01 00:00:00,2003-01-01 00:00:00,2004-01-01 00:00:00,2005-01-01 00:00:00,2006-01-01 00:00:00,2007-01-01 00:00:00,2008-01-01 00:00:00,2009-01-01 00:00:00,2010-01-01 00:00:00,2011-01-01 00:00:00,2012-01-01 00:00:00,2013-01-01 00:00:00,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-01 00:00:00,2017-01-01 00:00:00,2018-01-01 00:00:00,2019-01-01 00:00:00,2020-01-01 00:00:00,2021-01-01 00:00:00,2022-01-01 00:00:00,2023-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,2026-01-01 00:00:00,2027-01-01 00:00:00,2028-01-01 00:00:00,2029-01-01 00:00:00,2030-01-01 00:00:00,2031-01-01 00:00:00,2032-01-01 00:00:00,2033-01-01 00:00:00,2034-01-01 00:00:00,2035-01-01 00:00:00,2036-01-01 00:00:00,2037-01-01 00:00:00,2038-01-01 00:00:00,2039-01-01 00:00:00,2040-01-01 00:00:00,2041-01-01 00:00:00,2042-01-01 00:00:00,2043-01-01 00:00:00,2044-01-01 00:00:00,2045-01-01 00:00:00,2046-01-01 00:00:00,2047-01-01 00:00:00,2048-01-01 00:00:00,2049-01-01 00:00:00,2050-01-01 00:00:00,2051-01-01 00:00:00,2052-01-01 00:00:00,2053-01-01 00:00:00,2054-01-01 00:00:00,2055-01-01 00:00:00,2056-01-01 00:00:00,2057-01-01 00:00:00,2058-01-01 00:00:00,2059-01-01 00:00:00,2060-01-01 00:00:00,2061-01-01 00:00:00,2062-01-01 00:00:00,2063-01-01 00:00:00,2064-01-01 00:00:00,2065-01-01 00:00:00,2066-01-01 00:00:00,2067-01-01 00:00:00,2068-01-01 00:00:00,2069-01-01 00:00:00,2070-01-01 00:00:00,2071-01-01 00:00:00,2072-01-01 00:00:00,2073-01-01 00:00:00,2074-01-01 00:00:00,2075-01-01 00:00:00,2076-01-01 00:00:00,2077-01-01 00:00:00,2078-01-01 00:00:00,2079-01-01 00:00:00,2080-01-01 00:00:00,2081-01-01 00:00:00,2082-01-01 00:00:00,2083-01-01 00:00:00,2084-01-01 00:00:00,2085-01-01 00:00:00,2086-01-01 00:00:00,2087-01-01 00:00:00,2088-01-01 00:00:00,2089-01-01 00:00:00,2090-01-01 00:00:00,2091-01-01 00:00:00,2092-01-01 00:00:00,2093-01-01 00:00:00,2094-01-01 00:00:00,2095-01-01 00:00:00,2096-01-01 00:00:00,2097-01-01 00:00:00,2098-01-01 00:00:00,2099-01-01 00:00:00,2100-01-01 00:00:00,2105-01-01 00:00:00
C3,C3: likely 2°C,0.87,0.3233333333333333,0.08333333333333333,0.008333333333333333,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),1.845211662266244,1.8390692538761868,1.751862534131865,2070,REMIND_1_5,REMIND_1_5EMC_NucPO_30$,1.996124124951713,1.994409854305924,1.9227352307463716,2071,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,EMC_NucPO_30$,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,2070,2070,,,,,,,,,,,,,,,,3243.438262,,,,,,,,,,2467.993803711016,,,,,,,,,,585.1434711701328,,,,,,,,,,-295.6992725699491,,,,,,,,,,-160.881882947298,,,,,,,,,,-165.6423905607617,,,,,,,,,,-170.4373184672179,,,,,,,,,,-175.2666666666667,,,,,,,,,,-178.9333333333334,,,,,,,,,,-179.6666666666667,
C3,C3: likely 2°C,0.87,0.3233333333333333,0.08333333333333333,0.008333333333333333,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),1.845211662266244,1.8390692538761868,1.751862534131865,2070,REMIND_1_5,REMIND_1_5EMC_NucPO_30$,1.996124124951713,1.994409854305924,1.9227352307463716,2071,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,EMC_NucPO_30$,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,2070,2070,,,,,,,,,,,,,,,,32890.3978,,,,,,,,,,35033.82267524562,,,,,,,,,,32788.69204172959,,,,,,,,,,27541.35714699567,,,,,,,,,,20710.68979402996,,,,,,,,,,10797.2746620459,,,,,,,,,,1296.427152024944,,,,,,,,,,-4204.200000000002,,,,,,,,,,-7769.300000000001,,,,,,,,,,-10210.56666666667,
C1,C1: 1.5°C with no or low OS,0.4933333333333334,0.05666666666666665,0.0,0.0,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),1.496327618234314,1.4889977143104831,1.151799004253704,2048,REMIND_1_5,REMIND_1_5EMC_lowEI_100$,1.610452697061958,1.6034713093543551,1.264478242749633,2048,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,EMC_lowEI_100$,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,2048,2048,,,,,,,,,,,,,,,,3243.438262,,,,,,,,,,2467.048695029483,,,,,,,,,,583.201623367577,,,,,,,,,,-298.3572435593418,,,,,,,,,,-164.2903974165204,,,,,,,,,,-168.4380427221247,,,,,,,,,,-170.7953800606364,,,,,,,,,,-175.2666666666667,,,,,,,,,,-179.3,,,,,,,,,,-179.6666666666667,
C1,C1: 1.5°C with no or low OS,0.4933333333333334,0.05666666666666665,0.0,0.0,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),1.496327618234314,1.4889977143104831,1.151799004253704,2048,REMIND_1_5,REMIND_1_5EMC_lowEI_100$,1.610452697061958,1.6034713093543551,1.264478242749633,2048,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,EMC_lowEI_100$,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,2048,2048,,,,,,,,,,,,,,,,32890.3978,,,,,,,,,,31071.06558243325,,,,,,,,,,19383.83611721341,,,,,,,,,,4253.144960109211,,,,,,,,,,-6476.638503747562,,,,,,,,,,-10900.83331297771,,,,,,,,,,-13279.84676812418,,,,,,,,,,-14665.93333333333,,,,,,,,,,-14795.0,,,,,,,,,,-14825.8,
C1,C1: 1.5°C with no or low OS,0.635,0.08,0.001666666666666667,0.0,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),1.576621481191805,1.5733054617387858,1.144608127388169,2048,POLES_ADVANCE,POLES_ADVANCEADVANCE_2030_WB2C,1.6896249040096059,1.6839790334497091,1.268214855104717,2048,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,ADVANCE_2030_WB2C,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,2040,2049,,,,,,,,,,,,,,,,3243.438262,,,,,,,,,,2846.982385005929,,,,,,,,,,1302.332592914057,,,,,,,,,,-1020.99310630051,,,,,,,,,,-1269.330788338428,,,,,,,,,,-685.2842360541218,,,,,,,,,,-643.4366833730896,,,,,,,,,,-1135.933333333333,,,,,,,,,,-1454.566666666667,,,,,,,,,,-2116.400000000001,
C1,C1: 1.5°C with no or low OS,0.635,0.08,0.001666666666666667,0.0,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),1.576621481191805,1.5733054617387858,1.144608127388169,2048,POLES_ADVANCE,POLES_ADVANCEADVANCE_2030_WB2C,1.6896249040096059,1.6839790334497091,1.268214855104717,2048,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,ADVANCE_2030_WB2C,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,2040,2049,,,,,,,,,,,,,,,,32890.3978,,,,,,,,,,39976.77093964881,,,,,,,,,,39126.54355232142,,,,,,,,,,21232.25574214326,,,,,,,,,,9964.313666918666,,,,,,,,,,1533.916613270041,,,,,,,,,,-2680.18791915941,,,,,,,,,,-6483.766666666667,,,,,,,,,,-9592.000000000002,,,,,,,,,,-11237.6,
C5,C5: below 2.5°C,0.9516666666666668,0.5416666666666666,0.1766666666666667,0.045,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),2.0500371801204267,2.0500371801204267,2.0500371801204267,2100,POLES_ADVANCE,POLES_ADVANCEADVANCE_INDC,2.2274136668966804,2.2274136668966804,2.2274136668966804,2100,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,ADVANCE_INDC,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,2100,2100,,,,,,,,,,,,,,,,3243.438262,,,,,,,,,,2846.982385005929,,,,,,,,,,1302.332592914057,,,,,,,,,,14.28659406798631,,,,,,,,,,-980.6296127952893,,,,,,,,,,-1578.844558129792,,,,,,,,,,-1019.75941805596,,,,,,,,,,-707.6666666666667,,,,,,,,,,-98.26666666666668,,,,,,,,,,-204.9666666666667,
C5,C5: below 2.5°C,0.9516666666666668,0.5416666666666666,0.1766666666666667,0.045,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),2.0500371801204267,2.0500371801204267,2.0500371801204267,2100,POLES_ADVANCE,POLES_ADVANCEADVANCE_INDC,2.2274136668966804,2.2274136668966804,2.2274136668966804,2100,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,ADVANCE_INDC,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,2100,2100,,,,,,,,,,,,,,,,32890.3978,,,,,,,,,,39976.77093964881,,,,,,,,,,39126.54355232142,,,,,,,,,,36110.9072655139,,,,,,,,,,30596.35620226384,,,,,,,,,,24836.81644847802,,,,,,,,,,21496.1785997094,,,,,,,,,,18904.23333333333,,,,,,,,,,17860.33333333334,,,,,,,,,,16770.96666666667,
C1,C1: 1.5°C with no or low OS,0.635,0.13,0.02,0.0,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),1.594350057090818,1.581708371127681,1.378831564920976,2049,MESSAGE-GLOBIOM_1_0,MESSAGE-GLOBIOM_1_0EMF33_WB2C_limbio,1.717517747674633,1.713430150696738,1.5456358147746942,2050,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,EMF33_WB2C_limbio,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,2049,2049,,,,,,,,,,,,,,,,3243.438262,,,,,,,,,,3246.763357294579,,,,,,,,,,-1322.721994840892,,,,,,,,,,-1942.312300498789,,,,,,,,,,-2139.865383777833,,,,,,,,,,-3767.490743956904,,,,,,,,,,-4660.529699935521,,,,,,,,,,-5668.666666666668,,,,,,,,,,-6255.700000000003,,,,,,,,,,-6281.366666666668,
C1,C1: 1.5°C with no or low OS,0.635,0.13,0.02,0.0,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),1.594350057090818,1.581708371127681,1.378831564920976,2049,MESSAGE-GLOBIOM_1_0,MESSAGE-GLOBIOM_1_0EMF33_WB2C_limbio,1.717517747674633,1.713430150696738,1.5456358147746942,2050,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,EMF33_WB2C_limbio,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,2049,2049,,,,,,,,,,,,,,,,32890.3978,,,,,,,,,,34762.3454510959,,,,,,,,,,22478.22706033122,,,,,,,,,,13968.36669318468,,,,,,,,,,7919.117430559632,,,,,,,,,,2956.562761177186,,,,,,,,,,1631.083693957226,,,,,,,,,,862.4000000000003,,,,,,,,,,576.7666666666668,,,,,,,,,,711.3333333333333,
