peak surface temperature (rel. to 2010-2019),non-co2 warming (rel. to 2010-2019) at peak cumulative emissions co2,magicc_ind
0.46835232,0.016499266,0.0
0.44915584,-0.03706086,1.0
0.6168767,0.18285908,2.0
0.4735517,0.110331446,3.0
0.38386333,0.06467824,4.0
0.6159167,0.03693494,5.0
0.6828338,0.041435827,6.0
0.7635711,0.044919204,7.0
0.8306035,0.055435956,8.0
0.57973456,0.049709167,9.0
0.58686274,0.034939814,10.0
0.6230883,0.039625768,11.0
0.6831839,0.04243003,12.0
0.7373299,0.047135185,13.0
0.80880183,0.05961068,14.0
0.40594018,0.039418828,15.0
0.43250373,0.038426824,16.0
0.45558977,0.032775026,17.0
0.48392245,0.028589085,18.0
0.51712865,0.029798685,19.0
0.5500983,0.030076127,20.0
0.5873512,0.036927804,21.0
0.36001813,0.03574682,22.0
0.4886584,0.013970026,23.0
0.5703566,0.1711115,24.0
0.49263096,0.13599147,25.0
0.37481883,0.12019541,26.0
0.43493563,0.12842287,27.0
0.36183345,0.114717446,28.0
0.67607915,0.14718522,29.0
0.6901645,0.15410686,30.0
0.60890776,0.13067415,31.0
0.79759055,0.15277946,32.0
0.8268003,0.11892758,33.0
0.93240416,0.16394587,34.0
0.96199566,0.13506187,35.0
1.0328878,0.14447281,36.0
1.1495627,0.2022763,37.0
0.6168845,0.13454898,38.0
0.63445854,0.12897672,39.0
0.6681829,0.1364228,40.0
0.6955967,0.13480353,41.0
0.7247286,0.13359295,42.0
0.751607,0.13474537,43.0
0.8037527,0.15329921,44.0
0.8652901,0.15434048,45.0
0.93202466,0.16012362,46.0
0.9669486,0.13833515,47.0
1.0490091,0.1604973,48.0
1.15172,0.20292543,49.0
0.5976989,0.12731184,50.0
0.5885563,0.16967086,51.0
0.614994,0.11611063,52.0
0.6558634,0.12696949,53.0
0.6822484,0.123132065,54.0
0.72113514,0.13019592,55.0
0.75209546,0.13176243,56.0
0.42129934,0.11458346,57.0
0.6109013,0.23054358,58.0
0.55507094,0.13688613,59.0
0.6370567,0.15865213,60.0
0.38843116,0.09003912,61.0
0.4405104,0.101326935,62.0
0.34366012,0.11143239,63.0
0.38239956,0.120278716,64.0
0.41309148,0.121133626,65.0
0.4538155,0.13424924,66.0
0.49572176,0.14709462,67.0
0.5294136,0.15053608,68.0
0.56201553,0.15250832,69.0
0.6022871,0.16336825,70.0
0.63835233,0.16905399,71.0
0.68315166,0.1823378,72.0
0.7202249,0.18919198,73.0
0.75395,0.19034061,74.0
0.7979294,0.20355178,75.0
0.836555,0.20960966,76.0
0.53747654,0.161539,77.0
0.48253682,0.106591284,78.0
0.5145339,0.1385169,79.0
0.6254688,0.2494851,80.0
0.61784357,0.16390005,81.0
0.59188557,0.14781527,82.0
0.5886896,0.14485739,83.0
0.61259747,0.16144133,84.0
0.6532303,0.15319003,85.0
0.6063125,0.12084552,86.0
0.59922063,0.117113374,87.0
0.6374546,0.13680503,88.0
0.7511572,0.1543583,89.0
0.7583987,0.1579248,90.0
0.5380728,0.12515946,91.0
0.5258331,0.121959604,92.0
0.51290804,0.11325845,93.0
0.5442473,0.13265091,94.0
0.5320855,0.13847731,95.0
0.58273417,0.13927722,96.0
0.61976945,0.17751274,97.0
0.6008783,0.16145848,98.0
0.6640279,0.17854023,99.0
0.6242997,0.15420488,100.0
0.7721057,0.17964083,101.0
0.7648922,0.16954821,102.0
0.5122039,0.1572677,103.0
0.42006043,0.14232978,104.0
0.52654546,0.15262362,105.0
0.4531817,0.14814436,106.0
0.4422647,0.13900235,107.0
0.55424523,0.15961269,108.0
0.4993208,0.12961909,109.0
0.5267248,0.160374,110.0
0.61291075,0.17470784,111.0
0.5063386,0.05322326,112.0
0.54846585,0.0691855,113.0
0.48577443,0.048390623,114.0
0.6611639,0.104550086,115.0
0.6338626,0.08040912,116.0
0.6701555,0.058660958,117.0
0.7508951,0.071041,118.0
0.5922438,0.122601815,119.0
0.5562968,0.08320042,120.0
0.5865109,0.07482084,121.0
0.64133,0.0623743,122.0
0.7134138,0.08477552,123.0
0.72943306,0.07536622,124.0
0.4977756,0.09715612,125.0
0.51702607,0.13786648,126.0
0.54515773,0.08802558,127.0
0.4350223,0.102265626,128.0
0.47404584,0.067747936,129.0
0.72818923,0.10412343,130.0
0.5336211,0.09219257,131.0
0.7155971,0.114490725,132.0
0.61493075,0.12864417,133.0
0.56484497,0.109179154,134.0
0.6941307,0.104142986,135.0
0.43469125,0.11008153,136.0
0.54437745,0.08510336,137.0
0.53529555,0.074187286,138.0
0.6970213,0.2343244,139.0
0.58705205,0.07505088,140.0
0.58073777,0.06658937,141.0
0.5722424,0.059501555,142.0
0.61290854,0.057657607,143.0
0.9654076,0.090111025,144.0
0.48392808,0.058095045,145.0
0.41445717,0.043634675,146.0
0.5236185,0.045337137,147.0
0.5350334,0.047690567,148.0
0.5148051,0.039220084,149.0
0.69092584,0.062599495,150.0
0.4885674,0.109372295,151.0
0.3757393,0.057331733,152.0
0.46645063,0.113223374,153.0
0.5037534,0.14828117,154.0
0.4109873,0.10723075,155.0
0.51123214,0.13736229,156.0
0.4091393,0.09170672,157.0
