peak surface temperature (rel. to 2010-2019),non-co2 warming (rel. to 2010-2019) at peak cumulative emissions co2,magicc_ind
0.46835232,-0.007630857,0.0
0.44915584,-0.05845981,1.0
0.6168767,0.15798672,2.0
0.4735517,0.0537024,3.0
0.38386333,0.04585111,4.0
0.6159167,0.023589846,5.0
0.6828338,0.037019033,6.0
0.7635711,0.03732003,7.0
0.8306035,0.05521171,8.0
0.57973456,0.023284303,9.0
0.58686274,0.019411365,10.0
0.6230883,0.03187301,11.0
0.6831839,0.032379147,12.0
0.7373299,0.044833533,13.0
0.80880183,0.048162047,14.0
0.40594018,0.010114496,15.0
0.43250373,0.019948179,16.0
0.45558977,0.021348776,17.0
0.48392245,0.010657094,18.0
0.51712865,0.012597979,19.0
0.5500983,0.028735328,20.0
0.5873512,0.034973424,21.0
0.36001813,-0.0072115883,22.0
0.4886584,0.0005410103,23.0
0.5703566,0.1388682,24.0
0.49263096,0.12788628,25.0
0.37481883,0.11436318,26.0
0.43493563,0.11624066,27.0
0.36183345,0.112626955,28.0
0.67607915,0.13759053,29.0
0.6901645,0.14192739,30.0
0.60890776,0.13067415,31.0
0.79759055,0.14374304,32.0
0.8268003,0.1087188,33.0
0.93240416,0.1611964,34.0
0.96199566,0.13377382,35.0
1.0328878,0.13986981,36.0
1.1495627,0.19001424,37.0
0.6168845,0.1234328,38.0
0.63445854,0.1094129,39.0
0.6681829,0.11788238,40.0
0.6955967,0.12615356,41.0
0.7247286,0.13325639,42.0
0.751607,0.12680687,43.0
0.8037527,0.14691898,44.0
0.8652901,0.14206351,45.0
0.93202466,0.15854387,46.0
0.9669486,0.13833515,47.0
1.0490091,0.15415418,48.0
1.15172,0.19238275,49.0
0.5976989,0.113674,50.0
0.5885563,0.16967086,51.0
0.614994,0.097041294,52.0
0.6558634,0.11540108,53.0
0.6822484,0.122111395,54.0
0.72113514,0.13019592,55.0
0.75209546,0.12994365,56.0
0.42129934,0.10308935,57.0
0.6109013,0.19834891,58.0
0.55507094,0.13688613,59.0
0.6370567,0.14201373,60.0
0.38843116,0.076560535,61.0
0.4405104,0.09850926,62.0
0.34366012,0.10202889,63.0
0.38239956,0.11748006,64.0
0.41309148,0.12018049,65.0
0.4538155,0.12070467,66.0
0.49572176,0.14688736,67.0
0.5294136,0.14076853,68.0
0.56201553,0.14793785,69.0
0.6022871,0.15924785,70.0
0.63835233,0.16078526,71.0
0.68315166,0.1823378,72.0
0.7202249,0.18262443,73.0
0.75395,0.18316676,74.0
0.7979294,0.20268679,75.0
0.836555,0.20421708,76.0
0.53747654,0.15332904,77.0
0.48253682,0.093896694,78.0
0.5145339,0.12490841,79.0
0.6254688,0.24139236,80.0
0.61784357,0.106054954,81.0
0.59188557,0.08527115,82.0
0.5886896,0.089930706,83.0
0.61259747,0.10129517,84.0
0.6532303,0.112233035,85.0
0.6063125,0.08991583,86.0
0.59922063,0.09120801,87.0
0.6374546,0.107619286,88.0
0.7511572,0.14159757,89.0
0.7583987,0.14135323,90.0
0.5380728,0.06544267,91.0
0.5258331,0.05847335,92.0
0.51290804,0.058628302,93.0
0.5442473,0.07109193,94.0
0.5320855,0.07636034,95.0
0.58273417,0.08056701,96.0
0.61976945,0.13545443,97.0
0.6008783,0.13099545,98.0
0.6640279,0.16199571,99.0
0.6242997,0.12465641,100.0
0.7721057,0.16068411,101.0
0.7648922,0.15001883,102.0
0.5122039,0.12540703,103.0
0.42006043,0.095761485,104.0
0.52654546,0.09754496,105.0
0.4531817,0.099909894,106.0
0.4422647,0.09780694,107.0
0.55424523,0.10975356,108.0
0.4993208,0.08915599,109.0
0.5267248,0.11136008,110.0
0.61291075,0.13272169,111.0
0.5063386,0.029959137,112.0
0.54846585,0.058159813,113.0
0.48577443,0.02724177,114.0
0.6611639,0.010805461,115.0
0.6338626,0.056871213,116.0
0.6701555,0.043530717,117.0
0.7508951,0.066382594,118.0
0.5922438,0.012191075,119.0
0.5562968,0.07397664,120.0
0.5865109,0.047587685,121.0
0.64133,0.05647825,122.0
0.7134138,0.07399635,123.0
0.72943306,0.041585393,124.0
0.4977756,0.015616942,125.0
0.51702607,0.061626308,126.0
0.54515773,0.043662075,127.0
0.4350223,0.07716229,128.0
0.47404584,0.044541582,129.0
0.72818923,0.04919914,130.0
0.5336211,0.04023818,131.0
0.7155971,0.11318999,132.0
0.61493075,0.08041032,133.0
0.56484497,0.067506656,134.0
0.6941307,0.10407201,135.0
0.43469125,0.10130292,136.0
0.54437745,0.053918283,137.0
0.53529555,0.047691952,138.0
0.6970213,0.22065398,139.0
0.58705205,0.040108204,140.0
0.58073777,0.03360075,141.0
0.5722424,0.025498532,142.0
0.61290854,0.03394073,143.0
0.9654076,0.0770798,144.0
0.48392808,0.044997938,145.0
0.41445717,0.041425418,146.0
0.5236185,0.022969779,147.0
0.5350334,0.020606246,148.0
0.5148051,0.018535057,149.0
0.69092584,0.030978367,150.0
0.4885674,0.061407845,151.0
0.3757393,-0.025066717,152.0
0.46645063,0.07529239,153.0
0.5037534,0.12880552,154.0
0.4109873,0.076266386,155.0
0.51123214,0.11713253,156.0
0.4091393,0.063300215,157.0
0.55646265,0.039397657,158.0
0.57346416,0.08649072,159.0
0.6451935,0.12877403,160.0
0.58958536,0.10368306,161.0
0.64109564,0.121109955,162.0
0.39677918,-0.041983835,163.0
0.40293694,0.043582894,164.0
0.4236005,0.06613708,165.0
0.4632666,-0.016701192,166.0
0.45944735,-0.010814912,167.0
0.46449652,0.05756453,168.0
0.46847537,0.063922964,169.0
0.5826445,0.0044481363,170.0
0.55728483,0.02798063,171.0
0.6073861,0.10169127,172.0
0.6127973,0.13858704,173.0
0.69996095,0.13132201,174.0
0.42007333,0.15581295,175.0
0.80379975,0.21993884,176.0
0.59081256,0.17636634,177.0
0.8036271,0.20723966,178.0
0.5799952,0.15644686,179.0
0.6145003,0.17790277,180.0
0.5935121,0.1712331,181.0
0.41505113,0.14851055,182.0
0.41508967,0.14841604,183.0
0.7244925,0.21176197,184.0
0.72099924,0.21230972,185.0
0.65815514,0.20316388,186.0
0.6068848,0.17670469,187.0
0.6960334,0.20383234,188.0
0.5129274,0.15225749,189.0
0.5143406,0.15473971,190.0
0.45843852,0.14416267,191.0
0.5144907,0.1641966,192.0
0.61263925,0.18273734,193.0
0.6574966,0.17835131,194.0
0.943421,0.19089176,195.0
0.4073316,0.10561772,196.0
0.61240005,0.14487258,197.0
0.9600883,0.18568008,198.0
0.7551092,0.1237158,199.0
0.74867976,0.120088264,200.0
0.5943728,0.09870857,201.0
0.56709486,0.12113237,202.0
0.7446679,0.12109333,203.0
0.42177802,0.10276052,204.0
0.41244775,0.12009014,205.0
0.5944174,0.11806874,206.0
