peak surface temperature (rel. to 2010-2019),non-co2 warming (rel. to 2010-2019) at peak cumulative emissions co2,magicc_ind
0.46835232,0.024612285,0.0
0.44915584,-0.025634123,1.0
0.6168767,0.18285908,2.0
0.4735517,0.110331446,3.0
0.38386333,0.06467824,4.0
0.6159167,0.03693494,5.0
0.6257685,0.03918254,6.0
0.6828338,0.04154511,7.0
0.7184468,0.04493344,8.0
0.7635711,0.04637617,9.0
0.79720527,0.05388456,10.0
0.8306035,0.055435956,11.0
0.57973456,0.049709167,12.0
0.58686274,0.034939814,13.0
0.5278107,0.032753095,14.0
0.6230883,0.039625768,15.0
0.61010396,0.039266113,16.0
0.6831839,0.04243003,17.0
0.7068105,0.046162102,18.0
0.7373299,0.047135185,19.0
0.81032777,0.06185647,20.0
0.80880183,0.05961068,21.0
0.40594018,0.039418828,22.0
0.43250373,0.038426824,23.0
0.45558977,0.032775026,24.0
0.37851974,0.04219485,25.0
0.48392245,0.028589085,26.0
0.41445053,0.045779258,27.0
0.51712865,0.030984279,28.0
0.4481557,0.035575587,29.0
0.5500983,0.030076127,30.0
0.48389602,0.029815694,31.0
0.5873512,0.03861773,32.0
0.36001813,0.03739744,33.0
0.4886584,0.015446894,34.0
0.5703566,0.1711115,35.0
0.49263096,0.13606548,36.0
0.37481883,0.12033381,37.0
0.43493563,0.13046928,38.0
0.36183345,0.11573447,39.0
0.67607915,0.14718522,40.0
0.6901645,0.15410686,41.0
0.60890776,0.13067415,42.0
0.688817,0.19476043,43.0
0.661266,0.17557393,44.0
0.79759055,0.15277946,45.0
0.7481035,0.17246,46.0
0.8268003,0.11892758,47.0
0.80730665,0.1406341,48.0
0.93240416,0.16394587,49.0
0.89008874,0.13837712,50.0
0.96199566,0.13506187,51.0
1.023184,0.18034446,52.0
1.0328878,0.14447281,53.0
1.159818,0.22905275,54.0
1.1495627,0.2022763,55.0
0.6168845,0.13454898,56.0
0.5024374,0.21699937,57.0
0.63445854,0.12897672,58.0
0.51842415,0.2050062,59.0
0.5271281,0.21213548,60.0
0.6681829,0.1364228,61.0
0.54023033,0.18524516,62.0
0.6955967,0.13352638,63.0
0.5687005,0.17176825,64.0
0.7247286,0.13359295,65.0
0.60927343,0.1661908,66.0
0.751607,0.13425127,67.0
0.6729535,0.1828357,68.0
0.8037527,0.15329921,69.0
0.7630056,0.1887469,70.0
0.8652901,0.15434048,71.0
0.8213349,0.1573983,72.0
0.93202466,0.16012362,73.0
0.9304716,0.18003012,74.0
0.9669486,0.13833515,75.0
1.0211524,0.17975491,76.0
1.0490091,0.1604973,77.0
1.1579435,0.22847134,78.0
1.15172,0.20292543,79.0
0.42912364,0.1982939,80.0
0.44081542,0.21026552,81.0
0.5976989,0.12731184,82.0
