,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,peak surface temperature (rel. to 2010-2019),non-co2 warming (rel. to 2010-2019) at peak cumulative emissions co2,magicc_ind
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44530892,0.009327034,0.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.85572004,0.07375748,1.0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.3150009,0.21990299,2.0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.9072541,0.606826,3.0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.4333686,-0.046221342,4.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.83492965,0.0187708,5.0
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1.2518281,0.07686231,6.0
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1.9521567,0.49507645,7.0
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.88593954,0.29984564,8.0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1.9751354,0.4860945,9.0
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.61664623,0.17937593,10.0
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0.42607403,0.06943401,11.0
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0.92330194,0.29677394,12.0
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0.38337758,0.07500238,13.0
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0.46059233,0.036040887,14.0
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2.065802,0.4806092,15.0
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0.61356014,0.039978385,16.0
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0.6225169,0.041793287,17.0
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0.6809199,0.037503056,18.0
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0.71488565,0.04430059,19.0
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0.7605924,0.052033577,20.0
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0.7845755,0.05522816,21.0
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0.8300582,0.052866835,22.0
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,0.88571775,0.060652535,23.0
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0.88571775,0.060652535,24.0
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0.5791297,0.06690774,25.0
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,0.58396864,0.032871306,26.0
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,1.2648128,0.20481725,27.0
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,0.5265128,0.03757375,28.0
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,0.6198902,0.035427857,29.0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0.60673946,0.03296481,30.0
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,0.68084794,0.046803206,31.0
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0.6987942,0.050339628,32.0
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,0.7223476,0.05232403,33.0
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,0.80770546,0.054993704,34.0
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,0.80770546,0.054993704,35.0
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,0.8750431,0.068196364,36.0
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,0.8750431,0.068196364,37.0
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,0.40539792,0.041059818,38.0
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,0.43124717,0.049460452,39.0
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,0.45152262,0.0539886,40.0
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,0.37743086,0.031685546,41.0
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,0.48337704,0.029358769,42.0
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,0.41390818,0.04391684,43.0
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,0.5164175,0.03611462,44.0
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,0.44499516,0.053324502,45.0
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0.54404557,0.039907254,46.0
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,0.48335063,0.029332388,47.0
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,0.5861589,0.03252126,48.0
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,2.4997365,0.60706943,49.0
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0.3583977,0.037293185,50.0
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,1.2927963,0.1311372,51.0
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,0.8848955,0.06764208,52.0
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,2.243079,0.54785794,53.0
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,0.4880399,0.018235283,54.0
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,0.57082695,0.17187476,55.0
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,0.49193984,0.13113493,56.0
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,0.37526828,0.12070613,57.0
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,0.4351097,0.1268152,58.0
59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,0.36228338,0.114998326,59.0
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,2.9487426,0.60979253,60.0
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,0.6749327,0.15166791,61.0
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,0.689018,0.15661961,62.0
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,1.9500052,0.14315552,63.0
64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,0.60249394,0.12287137,64.0
65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,1.639375,0.13603315,65.0
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,0.98931485,0.1549939,66.0
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,1.5169805,0.16912752,67.0
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,0.6876036,0.17938973,68.0
69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,0.65985143,0.16007996,69.0
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,0.79259384,0.1507051,70.0
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,0.7434715,0.16242981,71.0
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,0.8250412,0.1257036,72.0
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,0.804961,0.1382079,73.0
74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,0.9285707,0.15892848,74.0
75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,0.88694745,0.12525295,75.0
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,0.9536601,0.12837113,76.0
77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,1.0214839,0.17368282,77.0
