,Unnamed: 0,peak surface temperature (rel. to 2010-2019),non-co2 warming (rel. to 2010-2019) at peak cumulative emissions co2,magicc_ind
0,0,0.4529754,0.011462291,0.0
1,1,0.86731887,0.06224094,1.0
2,2,1.3150009,0.21990299,2.0
3,3,1.9072541,0.606826,3.0
4,4,0.4333686,-0.046221342,4.0
5,5,0.8422401,0.014643476,5.0
6,6,1.2518281,0.07686231,6.0
7,7,1.9521567,0.49507645,7.0
8,8,0.88593954,0.29984564,8.0
9,9,1.9751354,0.4860945,9.0
10,10,0.61664623,0.17937593,10.0
11,11,0.42607403,0.06943401,11.0
12,12,0.92330194,0.29677394,12.0
13,13,0.38324142,0.07099297,13.0
14,14,0.46059233,0.036040887,14.0
15,15,2.065802,0.4806092,15.0
16,16,0.61356014,0.039978385,16.0
17,17,0.6225169,0.041793287,17.0
18,18,0.6809199,0.037503056,18.0
19,19,0.71488565,0.04430059,19.0
20,20,0.7605924,0.052033577,20.0
21,21,0.79666,0.048180487,21.0
22,22,0.8300582,0.052866835,22.0
23,23,0.8900652,0.06598023,23.0
24,24,0.8900652,0.06598023,24.0
25,25,0.5791297,0.06690774,25.0
26,26,0.5852154,0.032249782,26.0
27,27,1.2648128,0.20481725,27.0
28,28,0.5272653,0.03620923,28.0
29,29,0.62173474,0.037168972,29.0
30,30,0.6095587,0.035573505,30.0
31,31,0.6826386,0.046720464,31.0
32,32,0.70035994,0.038294718,32.0
33,33,0.7367846,0.045537937,33.0
34,34,0.807566,0.06248237,34.0
35,35,0.80770546,0.054993704,35.0
36,36,0.8775601,0.07024023,36.0
37,37,0.8775601,0.07024023,37.0
38,38,0.40539792,0.041059818,38.0
39,39,0.43124717,0.049460452,39.0
40,40,0.45152262,0.0539886,40.0
41,41,0.37743086,0.031685546,41.0
42,42,0.48337704,0.029358769,42.0
43,43,0.41390818,0.04391684,43.0
44,44,0.51658326,0.033801466,44.0
45,45,0.44499516,0.053324502,45.0
46,46,0.54684466,0.038971387,46.0
47,47,0.48335063,0.029332388,47.0
48,48,0.5861589,0.03252126,48.0
49,49,2.4997365,0.60706943,49.0
50,50,0.3583977,0.037293185,50.0
51,51,1.2927963,0.1311372,51.0
52,52,0.8848955,0.06764208,52.0
53,53,2.243079,0.54785794,53.0
54,54,0.4880399,0.018235283,54.0
55,55,0.57082695,0.17187476,55.0
56,56,0.49193984,0.13113493,56.0
57,57,0.37526828,0.12070613,57.0
58,58,0.4351097,0.1268152,58.0
59,59,0.36228338,0.114998326,59.0
60,60,2.9487426,0.60979253,60.0
61,61,0.6749327,0.15166791,61.0
62,62,0.68769073,0.15802628,62.0
63,63,1.9500052,0.14315552,63.0
64,64,0.60658956,0.12656978,64.0
65,65,1.639375,0.13603315,65.0
66,66,0.98931485,0.1549939,66.0
67,67,1.5169805,0.16912752,67.0
68,68,0.6876036,0.17938973,68.0
69,69,0.65291667,0.14936097,69.0
70,70,0.79536927,0.1522587,70.0
71,71,0.7464308,0.16453351,71.0
72,72,0.8213663,0.12513474,72.0
73,73,0.804961,0.1382079,73.0
74,74,0.924914,0.15520181,74.0
75,75,0.88694745,0.12525295,75.0
76,76,0.9582986,0.13159774,76.0
77,77,1.0214839,0.17368282,77.0
78,78,1.0314969,0.14420794,78.0
79,79,1.1564108,0.22262804,79.0
80,80,1.1484787,0.20034033,80.0
81,81,1.3223809,0.19155407,81.0
82,82,1.3147765,0.1839497,82.0
83,83,0.61558414,0.13282014,83.0
84,84,0.50118357,0.16695513,84.0
85,85,0.6322766,0.12917578,85.0
86,86,0.5049593,0.15714873,86.0
87,87,0.5257178,0.17708321,87.0
88,88,0.66700184,0.14054887,88.0
89,89,0.53902787,0.1568124,89.0
90,90,0.69445026,0.13760248,90.0
91,91,0.56732523,0.15507437,91.0
92,92,0.7235816,0.13063045,92.0
93,93,0.60697055,0.14237757,93.0
94,94,0.7499711,0.13174917,94.0
95,95,1.6122625,0.20368044,95.0
96,96,1.4492649,0.17588583,96.0
97,97,0.67173904,0.17089142,97.0
98,98,0.80213606,0.15135813,98.0
99,99,0.76057,0.168606,99.0
100,100,0.8641437,0.15886396,100.0
101,101,0.82015735,0.15117595,101.0
102,102,0.92936087,0.15627596,102.0
103,103,0.92917234,0.16725262,103.0
104,104,0.9657334,0.13651398,104.0
105,105,1.019667,0.17812029,105.0
106,106,1.0478108,0.16046187,106.0
107,107,1.1561399,0.22443326,107.0
108,108,1.1491175,0.20090654,108.0
109,109,1.3486888,0.2150583,109.0
110,110,1.3422283,0.20859772,110.0
111,111,0.40807465,0.149144,111.0
112,112,0.4320976,0.17378508,112.0
113,113,0.5949016,0.12526795,113.0
114,114,0.5868917,0.16616459,114.0
115,115,0.44289947,0.14313646,115.0
116,116,0.61381215,0.1196507,116.0
117,117,0.48566353,0.15065955,117.0
118,118,0.65471697,0.13145217,118.0
119,119,0.50689566,0.12371009,119.0
120,120,0.6800808,0.11978059,120.0
121,121,0.5564056,0.13084623,121.0
122,122,0.71998817,0.12786508,122.0
123,123,0.6229668,0.15863025,123.0
124,124,0.7502867,0.12878464,124.0
125,125,1.6334344,0.13009255,125.0
126,126,0.99964917,0.35070634,126.0
127,127,0.47604096,0.10881832,127.0
128,128,0.94400114,0.27899635,128.0
129,129,0.98268306,0.3425604,129.0
130,130,1.8182862,0.48196656,130.0
131,131,2.3672569,0.78914833,131.0
132,132,2.8162732,0.9252445,132.0
133,133,0.42000586,0.10772665,133.0
134,134,2.8032396,0.5974792,134.0
135,135,2.2087522,0.45822436,135.0
136,136,2.1179445,0.38400844,136.0
137,137,0.57736033,0.3177131,137.0
