peak surface temperature (rel. to 2010-2019),non-co2 warming (rel. to 2010-2019) at peak cumulative emissions co2,magicc_ind
0.2910895,-0.0041767517,0.0
0.32966477,0.0040793084,1.0
0.49257234,0.10192305,2.0
0.52872425,0.09236328,3.0
0.29439682,0.012388299,4.0
0.4565041,0.0033461293,5.0
0.3039522,0.005784224,6.0
0.4501658,0.011836155,7.0
0.85784495,0.13713929,8.0
0.4583114,-0.054719776,9.0
0.50804377,0.07268672,10.0
0.34791648,0.0015422462,11.0
0.31071708,0.004398417,12.0
0.32146627,-0.03338318,13.0
0.33193225,-0.03596956,14.0
0.79529965,0.16946769,15.0
0.3195066,0.03104941,16.0
0.33060524,0.034296256,17.0
0.4830828,0.08715955,18.0
0.5108718,0.09773762,19.0
0.55869305,0.15967111,20.0
0.4837704,0.12769899,21.0
0.36772725,0.1142061,22.0
0.42719513,0.12176214,23.0
0.35448205,0.107866414,24.0
0.37579954,0.07708179,25.0
0.5801965,0.0795157,26.0
0.89392376,0.076635964,27.0
0.5026887,0.113574706,28.0
0.6540053,0.14757551,29.0
0.97317386,0.24729641,30.0
0.51589036,0.10811409,31.0
0.7725338,0.15106721,32.0
0.48213616,0.10566039,33.0
0.6558393,0.1393784,34.0
0.90250117,0.21230952,35.0
0.4849783,0.1144427,36.0
0.41196176,0.09453268,37.0
0.4359474,0.053531196,38.0
0.6757959,0.07791689,39.0
0.503821,0.08142781,40.0
0.48545545,0.050352946,41.0
0.6282761,0.06764379,42.0
0.42227346,0.10896376,43.0
0.36908153,0.06809042,44.0
0.3755091,0.096885525,45.0
0.37195483,0.10268073,46.0
0.35154456,0.070315145,47.0
0.39134967,0.070556924,48.0
0.390528,0.08636648,49.0
0.3656622,0.08218774,50.0
0.3417552,0.084835276,51.0
0.32695866,0.07317427,52.0
0.5867335,0.04283165,53.0
0.93919045,0.07700733,54.0
0.4616737,0.042753648,55.0
0.39293122,0.028523393,56.0
0.5077643,0.03652579,57.0
0.5175695,0.03732412,58.0
0.49996474,0.031106759,59.0
0.67506886,0.053585485,60.0
0.41726872,0.055810545,61.0
0.73234195,0.101392284,62.0
0.4017587,0.1695394,63.0
0.5243039,0.19233388,64.0
0.7024909,0.23654403,65.0
0.45158902,0.14190961,66.0
0.49806663,0.1646924,67.0
0.5113999,0.1846317,68.0
0.6474391,0.20908466,69.0
0.7070222,0.25291643,70.0
0.41466123,0.14251074,71.0
0.82894313,0.20657507,72.0
0.598842,0.16078016,73.0
0.82296324,0.18885702,74.0
0.5760282,0.15547498,75.0
0.61068726,0.14829528,76.0
0.4139435,0.16571115,77.0
0.414009,0.1653641,78.0
0.741822,0.19005756,79.0
0.738102,0.19150664,80.0
0.6966678,0.21343543,81.0
0.7156905,0.18654911,82.0
0.52801603,0.1499791,83.0
0.5265882,0.15014459,84.0
0.47657585,0.15911143,85.0
0.51251847,0.14605549,86.0
0.62376726,0.16851582,87.0
0.44019958,0.12613228,88.0
0.6619735,0.14487843,89.0
0.965101,0.16021518,90.0
0.39989394,0.091278866,91.0
0.6194584,0.11162914,92.0
0.9874427,0.17119849,93.0
0.7863827,0.12331901,94.0
0.59402615,0.13954075,95.0
0.79212135,0.16215144,96.0
0.45892143,0.1397457,97.0
0.42206562,0.16523741,98.0
0.35017094,0.012224544,99.0
0.5239329,-0.061587803,100.0
0.42770463,-0.02595813,101.0
0.44647804,0.04940409,102.0
0.5205257,-0.05383518,103.0
0.44520906,0.042716727,104.0
0.47355774,-0.006372405,105.0
0.6252254,0.1558946,106.0
0.81046546,0.18909612,107.0
0.49733755,0.14177084,108.0
0.3447642,0.099197716,109.0
0.34753996,0.09146931,110.0
0.32622668,0.11886292,111.0
0.34055245,0.10621848,112.0
0.6241121,0.109929875,113.0
0.6230595,0.104267955,114.0
0.6125311,0.10150011,115.0
0.47333947,0.09969195,116.0
0.47498903,0.09849148,117.0
0.4100158,0.07354456,118.0
0.36755723,0.08557625,119.0
0.45973444,0.0921087,120.0
0.7548041,0.13071828,121.0
0.41718563,0.14159954,122.0
0.70328426,0.17883371,123.0
0.43048495,0.1483062,124.0
0.7996658,0.21451671,125.0
0.41619092,0.14084171,126.0
0.7216585,0.17923681,127.0
0.39992607,0.14189683,128.0
0.6283867,0.1754762,129.0
0.47539127,0.14830825,130.0
0.7205463,0.16010214,131.0
0.5670349,0.15551202,132.0
0.61443925,0.18828031,133.0
0.769931,0.18000408,134.0
0.63902813,0.19485742,135.0
0.67017716,0.18928178,136.0
0.4082242,0.108959556,137.0
0.4662285,0.11854146,138.0
0.36186287,0.09208551,139.0
0.5245242,0.11131389,140.0
0.5769722,0.09630001,141.0
0.47408485,0.114032276,142.0
0.44472134,0.09405174,143.0
0.6430125,0.0948002,144.0
0.94317436,0.0975348,145.0
0.41224167,0.053701002,146.0
