peak surface temperature (rel. to 2010-2019),non-co2 warming (rel. to 2010-2019) at peak cumulative emissions co2,magicc_ind
0.2910895,-0.0474808,0.0
0.32966477,-0.031145053,1.0
0.49257234,0.074805126,2.0
0.52872425,0.061685044,3.0
0.29439682,-0.07934477,4.0
0.4565041,-0.0066070165,5.0
0.3039522,-0.04394368,6.0
0.4501658,0.007012219,7.0
0.85784495,0.117083915,8.0
0.4583114,-0.06154025,9.0
0.50804377,0.05939878,10.0
0.34791648,-0.020427732,11.0
0.31071708,-0.028845847,12.0
0.32146627,-0.050220743,13.0
0.33193225,-0.04681158,14.0
0.79529965,0.15850702,15.0
0.3195066,-0.015162371,16.0
0.33060524,-0.020804202,17.0
0.4830828,0.08273014,18.0
0.5108718,0.09627013,19.0
0.55869305,0.13147137,20.0
0.4837704,0.12087984,21.0
0.36772725,0.10411372,22.0
0.42719513,0.10776832,23.0
0.35448205,0.10042061,24.0
0.37579954,0.06295331,25.0
0.5801965,0.06261999,26.0
0.89392376,0.06817111,27.0
0.5026887,0.08539422,28.0
0.6540053,0.13611144,29.0
0.97317386,0.23632455,30.0
0.51589036,0.106121175,31.0
0.7725338,0.14091124,32.0
0.48213616,0.08886554,33.0
0.6558393,0.1393784,34.0
0.90250117,0.20658821,35.0
0.4849783,0.11323793,36.0
0.41196176,0.065765165,37.0
0.4359474,0.041440573,38.0
0.6757959,0.044635374,39.0
0.503821,0.03391483,40.0
0.48545545,0.047675863,41.0
0.6282761,0.050617795,42.0
0.42227346,0.05649271,43.0
0.36908153,0.035144817,44.0
0.3755091,0.012433757,45.0
0.37195483,0.017528696,46.0
0.35154456,0.029222704,47.0
0.39134967,0.022187954,48.0
0.390528,0.048629757,49.0
0.3656622,0.04984118,50.0
0.3417552,0.030605625,51.0
0.32695866,0.01497977,52.0
0.5867335,0.022593986,53.0
0.93919045,0.06610414,54.0
0.4616737,0.031128516,55.0
0.39293122,0.020392587,56.0
0.5077643,0.022648253,57.0
0.5175695,0.019906687,58.0
0.49996474,0.016025268,59.0
0.67506886,0.030955086,60.0
0.41726872,0.044325307,61.0
0.73234195,0.09387303,62.0
0.4017587,0.15619351,63.0
0.5243039,0.19233388,64.0
0.7024909,0.23134875,65.0
0.45158902,0.14190961,66.0
0.49806663,0.15186208,67.0
0.5113999,0.18330142,68.0
0.6474391,0.19872724,69.0
0.7070222,0.2395641,70.0
0.41466123,0.11235255,71.0
0.82894313,0.20041563,72.0
0.598842,0.15758634,73.0
0.82296324,0.1831679,74.0
0.5760282,0.13045332,75.0
0.61068726,0.13141352,76.0
0.4139435,0.14805984,77.0
0.414009,0.14806779,78.0
0.741822,0.17517874,79.0
0.738102,0.17651722,80.0
0.6966678,0.19438069,81.0
0.7156905,0.17176005,82.0
0.52801603,0.1499791,83.0
0.5265882,0.15014459,84.0
0.47657585,0.14317201,85.0
0.51251847,0.1451871,86.0
0.62376726,0.16470882,87.0
0.44019958,0.105765045,88.0
0.6619735,0.14186665,89.0
0.965101,0.14639522,90.0
0.39989394,0.056977775,91.0
0.6194584,0.10722652,92.0
0.9874427,0.17040499,93.0
0.7863827,0.11019835,94.0
0.59402615,0.12819636,95.0
0.79212135,0.15022738,96.0
0.45892143,0.12957135,97.0
0.42206562,0.10392922,98.0
0.35017094,-0.020425957,99.0
0.5239329,-0.09102869,100.0
0.42770463,-0.08932533,101.0
0.44647804,0.01725503,102.0
0.5205257,-0.07193717,103.0
0.44520906,0.0022942077,104.0
0.47355774,-0.069409765,105.0
0.6252254,0.13352774,106.0
0.81046546,0.18700579,107.0
0.49733755,0.122176014,108.0
0.3447642,0.015294751,109.0
0.34753996,0.007841342,110.0
0.32622668,-0.018036151,111.0
0.34055245,0.008869103,112.0
0.6241121,0.079718955,113.0
0.6230595,0.08226486,114.0
0.6125311,0.065028206,115.0
0.47333947,0.054128375,116.0
0.47498903,0.052852225,117.0
0.4100158,0.002471656,118.0
0.36755723,-0.09997324,119.0
0.45973444,0.035811905,120.0
0.7548041,0.10040835,121.0
0.41718563,0.1321673,122.0
0.70328426,0.17814077,123.0
0.43048495,0.14745036,124.0
0.7996658,0.20946263,125.0
0.41619092,0.13187626,126.0
0.7216585,0.17923681,127.0
0.39992607,0.1355753,128.0
0.6283867,0.15327676,129.0
0.47539127,0.14117098,130.0
0.7205463,0.1330633,131.0
0.5670349,0.12821274,132.0
0.61443925,0.17818218,133.0
0.769931,0.14362991,134.0
0.63902813,0.19272257,135.0
0.67017716,0.15654668,136.0
0.4082242,0.09883143,137.0
0.4662285,0.11036387,138.0
0.36186287,0.09182279,139.0
0.5245242,0.090670206,140.0
0.5769722,0.08277043,141.0
0.47408485,0.08309023,142.0
0.44472134,0.07871879,143.0
0.6430125,0.071785025,144.0
0.94317436,0.06261507,145.0
0.41224167,0.046682533,146.0
0.6357967,0.06189686,147.0
0.90721405,0.061553348,148.0
0.5299571,0.07746204,149.0
0.73728687,0.0676092,150.0
0.97101617,0.080758855,151.0
0.5784051,0.13169193,152.0
0.7239256,0.1455959,153.0
0.4809341,0.14516239,154.0
0.5282926,0.09252829,155.0
0.53730536,0.09953632,156.0
0.48285437,0.09459565,157.0
0.8407849,0.11904272,158.0
0.8589482,0.13143818,159.0
0.806596,0.11434682,160.0
0.66137254,0.11069515,161.0
0.67366916,0.11619928,162.0
0.5121824,0.090263076,163.0
0.47428173,0.08042644,164.0
0.61894745,0.09605512,165.0
0.42812598,0.0765408,166.0
0.7081255,0.12139564,167.0
0.6365401,0.16801573,168.0
0.47253266,0.12934828,169.0
0.58769226,0.15776016,170.0
0.56276256,0.15575068,171.0
0.38244814,0.11422966,172.0
0.69433475,0.13489775,173.0
0.5664172,0.11641782,174.0
0.64580405,0.1362139,175.0
0.61242235,0.1334194,176.0
0.62381387,0.15825991,177.0
0.484544,0.11247449,178.0
0.5789317,0.14357962,179.0
0.55482,0.13625336,180.0
0.42404523,0.124754965,181.0
0.31759134,0.077754535,182.0
0.31864578,0.11112705,183.0
0.40034673,0.10067611,184.0
0.38588306,0.117814064,185.0
0.557702,0.11885351,186.0
0.42377955,0.05832146,187.0
0.4468689,0.12134116,188.0
0.5267681,0.081745304,189.0
0.51991427,0.11882048,190.0
0.33065698,0.06640444,191.0
0.5271851,0.0882744,192.0
0.9176098,0.15082686,193.0
0.53219813,0.108740665,194.0
0.32364058,0.010864298,195.0
0.5487724,0.06656025,196.0
0.34614277,0.070067264,197.0
0.7513851,0.14460942,198.0
0.51073885,0.08100904,199.0
0.7438894,0.14035714,200.0
0.51383376,0.07794666,201.0
0.5343032,0.08861364,202.0
0.44186926,0.06123906,203.0
0.68078893,0.10736266,204.0
0.3199213,0.040666595,205.0
