peak surface temperature (rel. to 2010-2019),non-co2 warming (rel. to 2010-2019) at peak cumulative emissions co2,magicc_ind
0.2910895,0.0030360431,0.0
0.7285454,0.07227931,1.0
0.32966477,-0.0062201805,2.0
0.87651706,0.2455519,3.0
0.49257234,0.10452641,4.0
0.52872425,0.088535905,5.0
1.3544351,0.27647045,6.0
2.8885946,0.6270332,7.0
2.4969916,0.4008771,8.0
0.4584764,-0.0022074548,9.0
0.8272685,0.054834433,10.0
2.917558,0.6771743,11.0
0.31100714,-0.017778642,12.0
0.6910685,0.044446465,13.0
2.496144,0.6673949,14.0
0.35591283,-0.031634632,15.0
0.7159686,0.026738465,16.0
2.6517472,0.6310714,17.0
0.39238283,-0.01499946,18.0
0.76962477,0.044645976,19.0
2.9037085,0.67941386,20.0
0.4296015,-0.007763388,21.0
0.80282867,0.052612867,22.0
2.9037085,0.67941386,23.0
0.42425734,-0.009559628,24.0
0.801335,0.051387697,25.0
2.9114664,0.67758954,26.0
0.37969154,-0.01620717,27.0
0.7609361,0.045602556,28.0
2.9019778,0.67891586,29.0
0.37337294,-0.018203188,30.0
0.75808156,0.043873385,31.0
2.8953977,0.6792703,32.0
0.36546057,-0.018570542,33.0
0.7582981,0.044686064,34.0
2.8902345,0.6783851,35.0
0.41386944,-0.007506378,36.0
0.8048617,0.05813502,37.0
2.8884115,0.67741877,38.0
0.3158986,-0.020933762,39.0
0.67698205,0.040721145,40.0
2.240872,0.6229052,41.0
0.29439682,0.025541542,42.0
0.4565041,-0.003285076,43.0
0.8765291,0.05485101,44.0
1.3361232,0.1700187,45.0
1.9997023,0.5841039,46.0
0.3039522,0.016777903,47.0
0.4501658,0.011698521,48.0
0.8437222,0.09587296,49.0
1.3087274,0.1367667,50.0
2.064496,0.3152665,51.0
2.9113727,0.684559,52.0
0.85784495,0.14606763,53.0
1.2585047,0.22302563,54.0
1.9148862,0.31225684,55.0
3.0019948,0.5471144,56.0
0.4583114,-0.058488287,57.0
0.88505185,-0.00081218604,58.0
1.3210269,0.04787354,59.0
2.1154819,0.48414603,60.0
0.50804377,0.07747898,61.0
0.89990807,0.16735183,62.0
1.3193157,0.22529626,63.0
1.9033988,0.31295392,64.0
3.6138673,0.74429196,65.0
2.1297383,0.464724,66.0
2.5252244,0.558747,67.0
0.34791648,0.035898507,68.0
0.8358046,0.20271923,69.0
0.31071708,0.019333078,70.0
2.7127318,0.5729485,71.0
2.8761332,0.579125,72.0
0.61060524,0.013041542,73.0
0.62712085,0.016778616,74.0
0.5690188,-0.019740019,75.0
0.5555579,-0.021689394,76.0
0.5516301,-0.03058834,77.0
0.32146627,-0.025604054,78.0
0.33193225,-0.023126664,79.0
0.79529965,0.17640504,80.0
0.9517041,0.17784987,81.0
1.340829,0.23054555,82.0
1.4734081,0.23696436,83.0
0.3195066,0.036576208,84.0
0.33060524,0.037190877,85.0
0.4830828,0.14441046,86.0
0.5108718,0.097876,87.0
2.4765017,0.56384397,88.0
2.6463733,0.58863103,89.0
0.55869305,0.16119862,90.0
0.4837704,0.12480828,91.0
0.36772725,0.11549086,92.0
0.42719513,0.11997343,93.0
0.35448205,0.111580096,94.0
3.3547528,0.664051,95.0
0.37579954,0.073288366,96.0
0.5801965,0.08197904,97.0
0.89392376,0.07592157,98.0
1.2295908,0.06581853,99.0
1.818334,0.17606214,100.0
0.5026887,0.12048662,101.0
0.6540053,0.15830368,102.0
0.97317386,0.26640803,103.0
1.2009662,0.2967443,104.0
2.000162,0.3090312,105.0
2.7891314,0.45083934,106.0
2.9090455,0.41551676,107.0
0.51589036,0.109415084,108.0
0.7725338,0.18174815,109.0
1.1451465,0.27445143,110.0
1.8164719,0.29662865,111.0
2.296525,0.39183426,112.0
0.48213616,0.11993416,113.0
0.6558393,0.1393784,114.0
