peak surface temperature (rel. to 2010-2019),non-co2 warming (rel. to 2010-2019) at peak cumulative emissions co2,magicc_ind
0.3785724,0.08305639,0.0
0.45678616,0.06648481,1.0
0.56117094,0.16225082,2.0
0.6119472,0.16143048,3.0
0.37407947,0.07133323,4.0
0.38772333,0.07562649,5.0
0.5731127,0.0939762,6.0
0.9792857,0.19739485,7.0
0.5962434,0.029237747,8.0
0.612771,0.14191753,9.0
0.38879025,0.07443851,10.0
0.43175238,0.051064074,11.0
0.44321477,0.050702572,12.0
0.94290304,0.23585284,13.0
0.39047426,0.0846284,14.0
0.39846992,0.08207458,15.0
0.5879247,0.15370393,16.0
0.6132369,0.15953273,17.0
0.611627,0.19788468,18.0
0.54060817,0.16958874,19.0
0.40803885,0.167925,20.0
0.47320855,0.16653538,21.0
0.3972807,0.1633383,22.0
0.4847213,0.16277945,23.0
0.70956767,0.16278625,24.0
1.0561901,0.16862679,25.0
0.5821778,0.19040424,26.0
0.75132847,0.23242617,27.0
1.0818211,0.29957843,28.0
0.65317684,0.20555383,29.0
0.9094762,0.23443872,30.0
0.55116403,0.17603421,31.0
0.7398908,0.21815681,32.0
1.0308626,0.2802254,33.0
0.57875675,0.16870052,34.0
0.48136657,0.15428448,35.0
0.5346459,0.11231923,36.0
0.7847017,0.114343405,37.0
0.5905391,0.13917243,38.0
0.5884329,0.11217594,39.0
0.7442055,0.115811944,40.0
0.49268496,0.16661727,41.0
0.44840658,0.13337922,42.0
0.4435618,0.15200222,43.0
0.44074953,0.15714097,44.0
0.42804742,0.13363719,45.0
0.46807826,0.13253725,46.0
0.4601736,0.14161235,47.0
0.44456875,0.14884102,48.0
0.41238266,0.14664507,49.0
0.40154338,0.12891912,50.0
0.68871534,0.0972482,51.0
1.0604044,0.13961625,52.0
0.56440413,0.108810246,53.0
0.5080564,0.10555792,54.0
0.61652935,0.08300781,55.0
0.6265811,0.08253956,56.0
0.61012185,0.08012581,57.0
0.7842448,0.09791148,58.0
0.50390327,0.11367899,59.0
0.83751094,0.16190422,60.0
0.49366862,0.23421496,61.0
0.6066812,0.2593094,62.0
0.7859956,0.29424345,63.0
0.54578847,0.20862824,64.0
0.58068395,0.22865665,65.0
0.5928292,0.24977624,66.0
0.7304498,0.26298773,67.0
0.78174996,0.30196846,68.0
0.47097218,0.17670882,69.0
0.899645,0.22408497,70.0
0.6680037,0.19249356,71.0
0.89640254,0.21040386,72.0
0.6348144,0.19191325,73.0
0.6878352,0.19311988,74.0
0.45480984,0.19382656,75.0
0.45498782,0.19354308,76.0
0.81486565,0.21549189,77.0
0.8106087,0.2164079,78.0
0.7728818,0.23282969,79.0
0.79052454,0.21430862,80.0
0.5972087,0.192909,81.0
0.5959093,0.19317365,82.0
0.5319144,0.18924296,83.0
0.5835647,0.18871641,84.0
0.6941324,0.20063001,85.0
0.50990814,0.17631537,86.0
0.7340606,0.1733231,87.0
1.0633094,0.19824553,88.0
0.48066318,0.14897704,89.0
0.7168188,0.16539073,90.0
1.0999905,0.21440852,91.0
0.9377113,0.21057236,92.0
0.6684861,0.18464959,93.0
0.8695245,0.19251215,94.0
0.5142045,0.17797351,95.0
0.4588238,0.17684531,96.0
0.42286813,0.07300329,97.0
0.6688077,0.014400303,98.0
0.52718085,0.042951405,99.0
0.5205038,0.118872344,100.0
0.664411,0.010186017,101.0
0.52101105,0.10834986,102.0
0.5667079,0.06266612,103.0
0.64089614,0.13600618,104.0
0.8180576,0.14352077,105.0
0.51161605,0.13760155,106.0
0.37966424,0.119098485,107.0
0.38642073,0.11281645,108.0
0.36072612,0.13237369,109.0
0.3741057,0.12639338,110.0
0.65543246,0.06225413,111.0
0.6610022,0.060669184,112.0
0.6406443,0.052430093,113.0
0.5043807,0.09980744,114.0
0.50381273,0.09440267,115.0
0.44575316,0.070652485,116.0
0.4033255,0.0429132,117.0
0.48608005,0.08717567,118.0
0.7781409,0.1033839,119.0
0.4764151,0.19236153,120.0
0.78781307,0.22466874,121.0
0.4891821,0.19273812,122.0
