peak surface temperature (rel. to 2010-2019),non-co2 warming (rel. to 2010-2019) at peak cumulative emissions co2,magicc_ind
0.3785724,0.054682314,0.0
0.45678616,0.051136613,1.0
0.56117094,0.14329273,2.0
0.6119472,0.15125299,3.0
0.37407947,0.020118296,4.0
0.38772333,0.04800117,5.0
0.5731127,0.093295395,6.0
0.9792857,0.1738882,7.0
0.5962434,0.028674126,8.0
0.612771,0.14012247,9.0
0.38879025,0.069618404,10.0
0.43175238,0.04285854,11.0
0.44321477,0.04597187,12.0
0.94290304,0.21819007,13.0
0.39047426,0.07029635,14.0
0.39846992,0.06938583,15.0
0.5879247,0.14461339,16.0
0.6132369,0.15047723,17.0
0.611627,0.18717456,18.0
0.54060817,0.16571301,19.0
0.40803885,0.167925,20.0
0.47320855,0.15913296,21.0
0.3972807,0.16302681,22.0
0.4847213,0.16013825,23.0
0.70956767,0.15835476,24.0
1.0561901,0.16498184,25.0
0.5821778,0.18477625,26.0
0.75132847,0.22853291,27.0
1.0818211,0.2927463,28.0
0.65317684,0.20555383,29.0
0.9094762,0.22959608,30.0
0.55116403,0.16956592,31.0
0.7398908,0.21606779,32.0
1.0308626,0.27076507,33.0
0.57875675,0.15957135,34.0
0.48136657,0.13160682,35.0
0.5346459,0.09252155,36.0
0.7847017,0.109980345,37.0
0.5905391,0.11034155,38.0
0.5884329,0.09958017,39.0
0.7442055,0.110963345,40.0
0.49268496,0.13439167,41.0
0.44840658,0.11678481,42.0
0.4435618,0.114251494,43.0
0.44074953,0.11766124,44.0
0.42804742,0.108926654,45.0
0.46807826,0.09827626,46.0
0.4601736,0.12395793,47.0
0.44456875,0.12530005,48.0
0.41238266,0.11620164,49.0
0.40154338,0.09468317,50.0
0.68871534,0.0972482,51.0
1.0604044,0.13824892,52.0
0.56440413,0.09346396,53.0
0.5080564,0.09614551,54.0
0.61652935,0.06907475,55.0
0.6265811,0.07094741,56.0
0.61012185,0.067147255,57.0
0.7842448,0.095653534,58.0
0.50390327,0.096465886,59.0
0.83751094,0.1607641,60.0
0.49366862,0.22659808,61.0
0.6066812,0.24921572,62.0
0.7859956,0.29214692,63.0
0.54578847,0.20833105,64.0
0.58068395,0.22646475,65.0
0.5928292,0.24615002,66.0
0.7304498,0.26076746,67.0
0.78174996,0.29308605,68.0
0.47097218,0.17100656,69.0
0.899645,0.2176081,70.0
0.6680037,0.18889356,71.0
0.89640254,0.20946258,72.0
0.6348144,0.17998898,73.0
0.6878352,0.18183243,74.0
0.45480984,0.18433082,75.0
0.45498782,0.1842314,76.0
0.81486565,0.21467876,77.0
0.8106087,0.21599853,78.0
0.7728818,0.2092663,79.0
0.79052454,0.21211088,80.0
0.5972087,0.19163048,81.0
0.5959093,0.19139719,82.0
0.5319144,0.1865226,83.0
0.5835647,0.186517,84.0
0.6941324,0.19953722,85.0
0.50990814,0.16897434,86.0
0.7340606,0.17182904,87.0
1.0633094,0.19249487,88.0
0.48066318,0.13651776,89.0
0.7168188,0.16358566,90.0
1.0999905,0.20364773,91.0
0.9377113,0.1881864,92.0
0.6684861,0.18046844,93.0
0.8695245,0.19251215,94.0
0.5142045,0.17394948,95.0
0.4588238,0.14619505,96.0
0.42286813,0.05344093,97.0
0.6688077,0.012101233,98.0
0.52718085,0.014514267,99.0
0.5205038,0.09238714,100.0
0.664411,0.0061908364,101.0
0.52101105,0.07292992,102.0
0.5667079,0.030723631,103.0
0.64089614,0.11516756,104.0
0.8180576,0.14332193,105.0
0.51161605,0.12326187,106.0
0.37966424,0.03955549,107.0
0.38642073,0.041211724,108.0
0.36072612,0.018205523,109.0
0.3741057,0.034599602,110.0
0.65543246,0.057902396,111.0
0.6610022,0.059045434,112.0
0.6406443,0.037492096,113.0
0.5043807,0.06878275,114.0
0.50381273,0.06603551,115.0
0.44575316,0.017071962,116.0
0.4033255,-0.09024596,117.0
0.48608005,0.048958957,118.0
0.7781409,0.092158675,119.0
0.4764151,0.19236153,120.0
0.78781307,0.22031927,121.0
0.4891821,0.19169122,122.0
0.9039434,0.24361849,123.0
0.47612184,0.19223231,124.0
0.80888027,0.2219761,125.0
0.46007955,0.19498867,126.0
0.70004547,0.21451294,127.0
0.5140039,0.17340559,128.0
0.8028873,0.17124707,129.0
0.6211263,0.1730997,130.0
0.64585507,0.2151956,131.0
0.83382225,0.18953449,132.0
0.67011034,0.21699148,133.0
0.7105776,0.20261556,134.0
0.46453732,0.16772574,135.0
0.54380435,0.18210143,136.0
0.42679125,0.1660778,137.0
0.6215102,0.17522162,138.0
0.69435376,0.18220204,139.0
0.56725186,0.16908902,140.0
0.5201272,0.15005702,141.0
0.7553886,0.14688551,142.0
1.0734344,0.13950664,143.0
0.49264014,0.12865067,144.0
0.74199885,0.13870257,145.0
1.0340166,0.14194763,146.0
0.6060737,0.15002161,147.0
0.845852,0.16209245,148.0
1.1073084,0.17701375,149.0
0.6407312,0.18084466,150.0
0.8286847,0.17931879,151.0
0.5254739,0.17887914,152.0
0.60006285,0.16386235,153.0
0.6016412,0.16916728,154.0
0.54727066,0.15069902,155.0
0.9594061,0.18531543,156.0
0.96370506,0.19126248,157.0
0.916452,0.17868495,158.0
0.76482695,0.17476684,159.0
0.7646922,0.18149757,160.0
0.5997286,0.15700805,161.0
0.590254,0.13506621,162.0
0.7078709,0.15878105,163.0
0.5527725,0.13749886,164.0
0.80045867,0.18664253,165.0
0.6934906,0.22252125,166.0
0.54017025,0.18533528,167.0
0.6474633,0.21194994,168.0
0.6259632,0.20749235,169.0
0.42998922,0.17270148,170.0
0.7640841,0.21742195,171.0
0.6528901,0.1890564,172.0
0.7222005,0.20802748,173.0
0.6924002,0.20543838,174.0
0.68628716,0.21369964,175.0
0.55827,0.18013674,176.0
0.6438893,0.2061739,177.0
0.6227645,0.20262104,178.0
0.4934315,0.18420595,179.0
0.36722952,0.1351673,180.0
0.38789922,0.17032987,181.0
0.4603963,0.15735847,182.0
0.4449548,0.17846912,183.0
0.64597464,0.18987358,184.0
0.50059736,0.11757398,185.0
0.54148316,0.17093074,186.0
0.60739195,0.15199304,187.0
0.5945699,0.182212,188.0
0.40047872,0.12775242,189.0
0.6182569,0.12320936,190.0
1.0077217,0.1726166,191.0
0.61341417,0.13253427,192.0
0.3960923,0.0847435,193.0
0.6371734,0.108560205,194.0
0.42299426,0.11343306,195.0
0.8160691,0.13735098,196.0
0.5780678,0.11538762,197.0
0.81309044,0.13465077,198.0
0.58861077,0.121288955,199.0
0.60618687,0.118973315,200.0
0.5081179,0.08821964,201.0
0.73911,0.09793234,202.0
0.37950015,0.08831191,203.0
