peak surface temperature (rel. to 2010-2019),non-co2 warming (rel. to 2010-2019) at peak cumulative emissions co2,magicc_ind
0.3785724,0.08821839,0.0
0.8531517,0.124667525,1.0
0.45678616,0.06889558,2.0
0.99046767,0.27941656,3.0
0.56117094,0.16313368,4.0
0.6119472,0.16621971,5.0
1.4784209,0.3418795,6.0
2.8874528,0.731333,7.0
2.496132,0.48787475,8.0
0.600658,0.074204504,9.0
0.9462791,0.11713356,10.0
2.9217787,0.78204584,11.0
0.4680972,0.054089487,12.0
0.82756186,0.11067742,13.0
2.5306747,0.7493665,14.0
0.50741243,0.047400594,15.0
0.8520701,0.096468925,16.0
2.6819868,0.73494387,17.0
0.54118586,0.0633412,18.0
0.8975599,0.11129469,19.0
2.9077888,0.7816975,20.0
0.57374,0.069606125,21.0
0.924845,0.11527389,22.0
2.9077888,0.7816975,23.0
0.56968445,0.06859177,24.0
0.92407554,0.114625156,25.0
2.9163504,0.78236485,26.0
0.5298612,0.061252773,27.0
0.890553,0.111744106,28.0
2.9089887,0.7819779,29.0
0.52371794,0.059826314,30.0
0.88784426,0.11076373,31.0
2.9006238,0.78140473,32.0
0.51746446,0.059867203,33.0
0.88732177,0.111296475,34.0
2.8963826,0.7809367,35.0
0.5601597,0.069847465,36.0
0.9270904,0.11966908,37.0
2.8979836,0.7812147,38.0
0.47197044,0.050546527,39.0
0.81646955,0.106714964,40.0
2.2945697,0.6903312,41.0
0.37407947,0.1084128,42.0
0.59883374,0.065808654,43.0
1.0475863,0.117661536,44.0
1.5191865,0.26684594,45.0
2.1696086,0.67411864,46.0
0.38772333,0.10552156,47.0
0.5731127,0.093699396,48.0
0.99060714,0.14317447,49.0
1.4734426,0.21032715,50.0
2.2463152,0.43607688,51.0
3.079181,0.81966996,52.0
0.9792857,0.2047019,53.0
1.3924296,0.2614783,54.0
2.0299268,0.35261238,55.0
3.097487,0.63076496,56.0
0.5962434,0.027936101,57.0
1.0533764,0.072835565,58.0
1.5005859,0.1393013,59.0
2.265902,0.562785,60.0
0.612771,0.14365417,61.0
1.0389107,0.20732129,62.0
1.4683645,0.283944,63.0
2.0763435,0.4147693,64.0
3.784058,0.936955,65.0
2.1192064,0.5009917,66.0
2.48899,0.60075355,67.0
0.47230434,0.076304555,68.0
0.9263092,0.22448993,69.0
0.38879025,0.077606976,70.0
2.6730893,0.6266482,71.0
2.8376672,0.64917755,72.0
0.73480666,0.06728077,73.0
0.7499466,0.07073879,74.0
0.6973028,0.041211724,75.0
0.6912871,0.0470466,76.0
0.6897973,0.040776014,77.0
0.43175238,0.05623561,78.0
0.44321477,0.052618384,79.0
0.94290304,0.23351038,80.0
1.0958225,0.24423552,81.0
1.4585474,0.28599656,82.0
1.5765077,0.29339802,83.0
0.39047426,0.0956015,84.0
0.39846992,0.09629732,85.0
0.5879247,0.18003845,86.0
0.6132369,0.17147177,87.0
2.4492574,0.6059272,88.0
2.6013618,0.63005185,89.0
0.611627,0.19949591,90.0
0.54060817,0.16981298,91.0
0.40803885,0.167925,92.0
0.47320855,0.16884816,93.0
0.3972807,0.16318011,94.0
3.3181977,0.8104682,95.0
0.4847213,0.16649497,96.0
0.70956767,0.16151714,97.0
1.0561901,0.16558218,98.0
1.4252359,0.17445087,99.0
2.004472,0.29503632,100.0
0.5821778,0.2042976,101.0
0.75132847,0.2446574,102.0
1.0818211,0.3013816,103.0
1.3588706,0.3567145,104.0
2.15739,0.40047038,105.0
2.908132,0.5470066,106.0
3.0005655,0.49840546,107.0
0.65317684,0.20555383,108.0
0.9094762,0.23715204,109.0
1.2792447,0.31344783,110.0
1.944094,0.3443519,111.0
2.4136102,0.45108485,112.0
0.55116403,0.18369865,113.0
0.7398908,0.21964812,114.0
1.0308626,0.2744552,115.0
1.4303958,0.2926563,116.0
2.110277,0.3244151,117.0
3.581031,0.6406982,118.0
0.57875675,0.17265338,119.0
0.48136657,0.16500688,120.0
0.787568,0.108527064,121.0
0.5346459,0.118902564,122.0
0.7847017,0.10909748,123.0
0.5905391,0.1612494,124.0
1.6210157,0.25868416,125.0
2.6376994,0.57836676,126.0
2.1880703,0.41874623,127.0
2.3558135,0.4564011,128.0
2.6074955,0.5688863,129.0
0.5884329,0.121995926,130.0
0.7442055,0.11050701,131.0
0.49268496,0.17392159,132.0
2.8029232,0.6181524,133.0
0.44840658,0.15405107,134.0
0.4435618,0.1642462,135.0
0.44074953,0.16772914,136.0
0.42804742,0.15252292,137.0
0.46807826,0.14676511,138.0
0.4601736,0.15184432,139.0
0.44456875,0.16295326,140.0
0.41238266,0.15722644,141.0
0.40154338,0.13905668,142.0
0.68871534,0.0972482,143.0
1.0604044,0.14128017,144.0
1.4995306,0.21465755,145.0
1.9067452,0.40160882,146.0
0.56440413,0.11494142,147.0
0.92887926,0.10875583,148.0
1.4939374,0.14771342,149.0
2.2334585,0.29597545,150.0
2.8202686,0.6094532,151.0
0.83735114,0.1121096,152.0
1.3098869,0.14480948,153.0
2.0015945,0.23874056,154.0
2.8865123,0.5666876,155.0
0.5080564,0.111273766,156.0
0.92305297,0.12851435,157.0
1.444829,0.16455269,158.0
2.2209024,0.41370642,159.0
2.3469691,0.5002103,160.0
1.0074447,0.13165677,161.0
1.4984629,0.15657759,162.0
2.1522682,0.2174716,163.0
3.9238138,0.86759377,164.0
2.6692827,0.4557531,165.0
0.8682816,0.09078109,166.0
0.87658346,0.091977835,167.0
0.87053216,0.07733083,168.0
0.8815579,0.07250327,169.0
0.8774374,0.08526915,170.0
0.8746227,0.07568407,171.0
0.61652935,0.082154036,172.0
0.6265811,0.08322549,173.0
0.6195606,0.08062816,174.0
0.697858,0.07359928,175.0
0.61012185,0.08335507,176.0
0.7842448,0.09637892,177.0
0.98032624,0.08847743,178.0
1.1615051,0.11770654,179.0
1.3012754,0.112844706,180.0
3.39574,0.70996284,181.0
0.50390327,0.12106985,182.0
0.83751094,0.16180825,183.0
0.49366862,0.23760456,184.0
0.6066812,0.26245952,185.0
0.7859956,0.294744,186.0
0.54578847,0.21366948,187.0
2.3305905,0.56890094,188.0
0.58068395,0.22795439,189.0
0.5928292,0.25098383,190.0
0.7304498,0.2643546,191.0
0.78174996,0.30988634,192.0
2.826364,0.53653216,193.0
0.47097218,0.18404281,194.0
0.899645,0.22685122,195.0
0.6680037,0.19455254,196.0
0.89640254,0.21071082,197.0
0.6348144,0.19518745,198.0
0.6878352,0.19870448,199.0
1.3954098,0.27749693,200.0
2.9136646,0.56296563,201.0
1.9303803,0.296507,202.0
0.45480984,0.1940465,203.0
0.45498782,0.1938628,204.0
2.7102997,0.39814353,205.0
0.81486565,0.2224065,206.0
0.8106087,0.22378218,207.0
0.7728818,0.22860658,208.0
0.75345963,0.20308554,209.0
0.79052454,0.22038877,210.0
0.743174,0.19490612,211.0
0.5972087,0.19386625,212.0
0.5959093,0.19367278,213.0
0.5319144,0.18961537,214.0
0.5835647,0.18970358,215.0
0.6941324,0.2045291,216.0
0.87380904,0.20225948,217.0
1.1670265,0.26811767,218.0
1.2988844,0.26052427,219.0
0.50990814,0.17838794,220.0
0.7340606,0.17421204,221.0
1.0633094,0.20110965,222.0
1.5219383,0.21874535,223.0
2.2881732,0.46218228,224.0
0.48066318,0.15567458,225.0
0.7168188,0.16515994,226.0
1.0999905,0.21055222,227.0
1.5422101,0.23835456,228.0
2.283502,0.30190694,229.0
2.8688736,0.5406637,230.0
0.9377113,0.20165956,231.0
1.3540204,0.24654818,232.0
2.0559962,0.27625287,233.0
3.671348,0.6701565,234.0
2.5645034,0.40902662,235.0
2.770828,0.49970436,236.0
0.6684861,0.18763483,237.0
0.8695245,0.19251215,238.0
0.5142045,0.1808778,239.0
2.8864717,0.5396261,240.0
0.4588238,0.18804348,241.0
0.42286813,0.0839684,242.0
0.6688077,0.012186468,243.0
0.52718085,0.060415685,244.0
0.5205038,0.13071197,245.0
0.664411,0.0075419545,246.0
0.52101105,0.119801104,247.0
0.5667079,0.08996755,248.0
1.1969423,0.113476396,249.0
2.4727137,0.51030374,250.0
2.3786352,0.47405434,251.0
2.0615692,0.2996683,252.0
2.6541953,0.5290208,253.0
0.64089614,0.15113562,254.0
0.8180576,0.14491624,255.0
0.51161605,0.13669723,256.0
2.7725708,0.5612068,257.0
0.37966424,0.1462,258.0
0.38642073,0.14828265,259.0
0.36072612,0.15462077,260.0
0.3741057,0.15331405,261.0
2.258337,0.43341732,262.0
0.65543246,0.105335295,263.0
0.6610022,0.0625726,264.0
0.6504804,0.0303033,265.0
0.581521,-0.049069762,266.0
0.6406443,0.094299495,267.0
0.55693793,-0.06044668,268.0
0.5043807,0.111702144,269.0
0.50381273,0.10671651,270.0
0.44575316,0.095682144,271.0
0.4033255,0.15157628,272.0
0.48608005,0.10396272,273.0
0.4033636,0.15191537,274.0
0.7781409,0.11334312,275.0
0.94866395,0.008366466,276.0
1.2608975,0.10816753,277.0
1.3427265,0.10400152,278.0
0.4764151,0.19236153,279.0
0.78781307,0.22387433,280.0
0.4891821,0.19345433,281.0
0.9039434,0.25041544,282.0
0.47612184,0.19138163,283.0
0.80888027,0.23065156,284.0
0.46007955,0.19652444,285.0
0.70004547,0.21450841,286.0
0.5140039,0.17871863,287.0
0.8028873,0.17116982,288.0
0.6211263,0.18752187,289.0
0.64585507,0.22086078,290.0
0.83382225,0.20478791,291.0
0.67011034,0.2198574,292.0
0.7105776,0.2156319,293.0
2.0850596,0.33094335,294.0
3.0318637,0.71712303,295.0
2.6942682,0.5388663,296.0
0.46453732,0.17784816,297.0
0.54380435,0.18109661,298.0
0.42679125,0.17157012,299.0
0.6215102,0.18315202,300.0
0.69435376,0.18942767,301.0
0.56725186,0.17170149,302.0
3.0740378,0.8086977,303.0
0.5201272,0.15107983,304.0
0.7553886,0.17791164,305.0
1.0734344,0.19678384,306.0
1.4662284,0.21964276,307.0
1.965704,0.47847795,308.0
0.49264014,0.13301063,309.0
0.74199885,0.14403266,310.0
1.0340166,0.15393531,311.0
1.5290384,0.1843977,312.0
2.2321227,0.3739549,313.0
3.0052547,0.71523356,314.0
0.6060737,0.15253538,315.0
0.845852,0.16908228,316.0
1.1073084,0.17717862,317.0
1.5026962,0.16788161,318.0
2.2229457,0.28871953,319.0
4.089276,0.8845613,320.0
2.0791469,0.31657267,321.0
2.7008498,0.5499134,322.0
0.6407312,0.18607318,323.0
0.8286847,0.18139517,324.0
0.5254739,0.17770374,325.0
3.1685736,0.8557017,326.0
0.60006285,0.16613245,327.0
0.6016412,0.17176831,328.0
0.54727066,0.15562391,329.0
3.3295918,0.99081135,330.0
0.9594061,0.1919213,331.0
0.96370506,0.19860649,332.0
0.8657243,0.15942717,333.0
0.8818673,0.1423409,334.0
0.916452,0.1815331,335.0
0.8643973,0.13228726,336.0
0.76482695,0.18019599,337.0
